DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3638985.3638987,Real-Time Dress Code Detection using MobileNetV2 Transfer Learning on NVIDIA Jetson Nano,Laxmi Kantham Durgam; Ravi Kumar Jatoth,2023,Proceedings of the 2023 11th International Conference on Information Technology: IoT and Smart City,proceedings-article,https://doi.org/10.1145/3638985.3638987,
10.1145/3788149.3788152,Edge AI for Aviation Traffic Forecasting A Weather-Aware System on Jetson Orin Nano,Michal Niemczyk; Mariusz Mol,2025,Proceedings of the 2025 9th International Conference on Computer Science and Artificial Intelligence,proceedings-article,https://doi.org/10.1145/3788149.3788152,
10.1145/3631537,NVIDIA at the Center of the Generative AI Ecosystem---For Now,Michael Cusumano,2023,Communications of the ACM,journal-article,https://doi.org/10.1145/3631537,Assessing the ascent of NVIDIA.
10.1145/3721251.3734068,Applying AI Weather Models with NVIDIA Earth-2,Vadim Kudlay; Kevin Lee,2025,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Labs,proceedings-article,https://doi.org/10.1145/3721251.3734068,
10.1145/3728487.3759232,AI-Enhanced Creation of Digital Twins from iPhone LiDAR for Immersive XR Experiences in NVIDIA Omniverse,Kamran Gholizadeh HamlAbadi; Monica Vahdati; Haiwei Dong; Abdulmotaleb El Saddik,2025,Proceedings of the International Workshop on Intelligent Immersification in the Metaverse: AI-Driven Immersive Multimedia,proceedings-article,https://doi.org/10.1145/3728487.3759232,
10.1145/3588430.3597248,Interactive AI Material Generation and Editing in NVIDIA Omniverse,Hassan Abu Alhaija; James Lucas; Alexander Zook; Michael Babcock; David Tyner; Rajeev Rao; Maria Shugrina,2023,ACM SIGGRAPH 2023 Real-Time Live!,proceedings-article,https://doi.org/10.1145/3588430.3597248,
10.1145/3629527.3651428,"Evaluating Emerging AI/ML Accelerators: IPU, RDU, and NVIDIA/AMD GPUs",Hongwu Peng; Caiwen Ding; Tong Geng; Sutanay Choudhury; Kevin Barker; Ang Li,2024,Companion of the 15th ACM/SPEC International Conference on Performance Engineering,proceedings-article,https://doi.org/10.1145/3629527.3651428,
10.1145/3635636.3656189,MIMOSA: Human-AI Co-Creation of Computational Spatial Audio Effects on Videos,Zheng Ning; Zheng Zhang; Jerrick Ban; Kaiwen Jiang; Ruohong Gan; Yapeng Tian; Toby Jia-Jun Li,2024,Creativity and Cognition,proceedings-article,https://doi.org/10.1145/3635636.3656189,
10.1145/3639477.3639740,Towards Building AI-CPS with NVIDIA Isaac Sim: An Industrial Benchmark and Case Study for Robotics Manipulation,Zhehua Zhou; Jiayang Song; Xuan Xie; Zhan Shu; Lei Ma; Dikai Liu; Jianxiong Yin; Simon See,2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,proceedings-article,https://doi.org/10.1145/3639477.3639740,
10.1145/3617695.3617715,Pedestrian recognition method based on Jetson nano,Lemei Zhang; Yu Xin; Letao Zhang,2023,Proceedings of the 2023 7th International Conference on Big Data and Internet of Things,proceedings-article,https://doi.org/10.1145/3617695.3617715,
10.1145/3636480.3637097,First Impressions of the NVIDIA Grace CPU Superchip and NVIDIA Grace Hopper Superchip for Scientific Workloads,Nikolay A. Simakov; Matthew D. Jones; Thomas R. Furlani; Eva Siegmann; Robert J. Harrison,2024,Proceedings of the International Conference on High Performance Computing in Asia-Pacific Region Workshops,proceedings-article,https://doi.org/10.1145/3636480.3637097,
10.1145/3770854.3780290,Deep Hierarchical Knowledge Loss for Fault Intensity Diagnosis,Yu Sha; Shuiping Gou; Bo Liu; Haofan Lu; Ningtao Liu; Jiahui Fu; Horst Stoecker; Domagoj Vnucec; Nadine Wetzstein; Andreas Widl; Kai Zhou,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,proceedings-article,https://doi.org/10.1145/3770854.3780290,
10.1145/3664647.3681196,Fine-Grained Side Information Guided Dual-Prompts for Zero-Shot Skeleton Action Recognition,Yang Chen; Jingcai Guo; Tian He; Xiaocheng Lu; Ling Wang,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3681196,
10.1145/3673038.3673104,Evaluating and optimising compiler code generation for NVIDIA Grace,Ricardo Jesus; Michèle Weiland,2024,Proceedings of the 53rd International Conference on Parallel Processing,proceedings-article,https://doi.org/10.1145/3673038.3673104,
10.1145/3772318.3791568,Dark Patterns Meet GUI Agents: LLM Agent Susceptibility to Manipulative Interfaces and the Role of Human Oversight,Jingyu Tang; Chaoran Chen; Jiawen Li; Zhiping Zhang; Bingcan Guo; Ibrahim Khalilov; Simret Araya Gebreegziabher; Bingsheng Yao; Dakuo Wang; Yanfang Ye; Tianshi Li; Ziang Xiao; Yaxing Yao; Toby Jia-Jun Li,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,proceedings-article,https://doi.org/10.1145/3772318.3791568,
10.1145/3757371.3763255,"Vision, Imaging, and Simulation for Heat and Light",Mani Ramanagopal; Bailey Miller,2025,SIGGRAPH Asia 2025 Courses,proceedings-article,https://doi.org/10.1145/3757371.3763255,
10.1145/3746252.3763787,The Geometry of Knowledge and Computational Discovery,Yong-Yeol Ahn,2025,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,proceedings-article,https://doi.org/10.1145/3746252.3763787,
10.1145/3723851.3723860,Cross-Vendor GPU Programming: Extending CUDA Beyond NVIDIA,Manos Pavlidakis; Chris Kitching; Nicholas Tomlinson; Michael Søndergaard,2025,Proceedings of the 4th Workshop on Heterogeneous Composable and Disaggregated Systems,proceedings-article,https://doi.org/10.1145/3723851.3723860,
10.1145/3716368.3735515,ParaHDC: Leveraging GPU Acceleration for Scalable Hyperdimensional Learning,Abu Kaisar Mohammad Masum; Sercan Aygun,2025,Proceedings of the Great Lakes Symposium on VLSI 2025,proceedings-article,https://doi.org/10.1145/3716368.3735515,
10.1145/3606376.3593530,Characterizing the Performance of Accelerated Jetson Edge Devices for Training Deep Learning Models,Prashanthi S.K; Sai Anuroop Kesanapalli; Yogesh Simmhan,2023,ACM SIGMETRICS Performance Evaluation Review,journal-article,https://doi.org/10.1145/3606376.3593530,"Deep Neural Network (DNN) models are becoming ubiquitous in a variety of contemporary domains such as Autonomous Vehicles, Smart cities and Healthcare. They help drones to navigate, identify suspicious activities from safety cameras, and perform diagnostics over medical imaging. Fast DNN inferencing close to the data source is enabled by a growing class of accelerated edge devices such as NVIDIA Jetson and Google Coral which host low-power Graphics Processing Units (GPUs) and Tensor Processing Units (TPUs) along with ARM CPUs in a compact form-factor to offer a superior performance-to-energy ratio. E.g., the NVIDIA Jetson AGX Xavier kit has a 512-core Volta GPU, an 8-core ARM CPU and 32GB LPDDR4x memory, that operates within 65W of power, costs US999 and is smaller than a paperback novel. Recently, there has been a push towards training DNN models on the edge [2]. This is driven by the massive growth in data collected from edge devices in Cyber-Physical Systems (CPS) and Internet of Things (IoT), the need to refresh the models periodically, the bandwidth constraints in moving all this data to Cloud data centers for training, and a heightened emphasis on privacy by retaining data on the edge. This has led to techniques like federated and geo-distributed learning that train DNN models locally on data on an edge device and aggregate them centrally. In this abstract, we summarise and highlight key results from our full paper [5]."
10.1145/3708035.3736099,Deploying NVIDIA Omniverse on HPC Resources at Clemson University,James Daly Burton; Nicholas Hayden Rengier,2025,Practice and Experience in Advanced Research Computing 2025: The Power of Collaboration,proceedings-article,https://doi.org/10.1145/3708035.3736099,
10.1145/3770855.3819016,POLO: Preference-Guided Multi-Turn Reinforcement Learning for Sample-Efficient Lead Optimization,Ziqing Wang; Yibo Wen; William Pattie; Xiao Luo; Weimin Wu; Jerry Yao-Chieh Hu; Abhishek Pandey; Han Liu; Kaize Ding,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,proceedings-article,https://doi.org/10.1145/3770855.3819016,
10.1145/3721243.3735983,Real Time Path-Tracing with NVIDIA RTX MegaGeometry,Manuel Kraemer; Dylan Lacewell; Ardavan Kanani,2025,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Real-Time Live!,proceedings-article,https://doi.org/10.1145/3721243.3735983,
