record_id,title,authors,abstract,year,doi,pmid,venue,url,publication_type,source,source_database
1,Chest X-Ray Report Generation Using Abnormality Guided Vision Language Model,,,,,,,https://ieeexplore.ieee.org/document/11153468,,,IEEE
2,Med3DVLM: An Efficient Vision-Language Model for 3D Medical Image Analysis,,,,,,,https://ieeexplore.ieee.org/document/11145341,,,IEEE
3,Multi-Scale Feature and Prompt Learning for Few-Shot Medical Image Anomaly Detection,,,,,,,https://ieeexplore.ieee.org/document/11381415,,,IEEE
4,From Technical Prerequisites to Improved Care: Distributed Edge AI for Tomographic Imaging,,,,,,,https://ieeexplore.ieee.org/document/10843208,,,IEEE
5,Privacy-Preserving Generative Adversarial Network for Case-Based Explainability in Medical Image Analysis,,,,,,,https://ieeexplore.ieee.org/document/9598877,,,IEEE
6,Automatic Radiology Report Generator Using Transformer With Contrast-Based Image Enhancement,,,,,,,https://ieeexplore.ieee.org/document/10430201#full-text-header,,,IEEE
7,A Survey on Multimodal Large Language Models in Radiology for Report Generation and Visual Question Answering,,,,,,,https://www.mdpi.com/2078-2489/16/2/136,,,Google Scholar
8,RadVLM: A Multitask Conversational Vision-Language Model for Radiology,,,,,,,https://arxiv.org/abs/2502.03333,,,Google Scholar
9,Do Multimodal Vision-Language Models Enhance the Medical Diagnostic Process? A Systematic Review,,,,,,,https://www.mdpi.com/2227-9032/14/13/1877,,,Google Scholar
10,Vision-language foundation models for medical imaging: a review of current practices and innovations,,,,,,,https://link.springer.com/article/10.1007/s13534-025-00484-6,,,Google Scholar
11,Auditing Medical Vision-Language Models on Chest Radiographs: Estimating Reference Agreement Across Institutions,,,,,,,https://arxiv.org/abs/2608.07550,,,Google Scholar
12,Automated Structured Radiology Report Generation with Rich Clinical Context,,,,,,,https://arxiv.org/abs/2510.00428,,,Google Scholar
13,How I Do It: Understanding and Leveraging Generative AI for Chest Radiology Reporting,,,,,,,https://pubs.rsna.org/doi/full/10.1148/radiol.253456,,,Google Scholar
14,Scalable Training of Spatially Grounded 2D Vision-Language Models for Radiology,,,,,,,https://arxiv.org/abs/2606.20477,,,Google Scholar
15,Advancing radiology foundation models with reasoning through step-by-step verification from daily reports,,,,,,,https://www.nature.com/articles/s43856-026-01654-y,,,Google Scholar
16,"Harrison.Rad 1.5 Technical Report: A radiology foundation model that can draft reports from images, priors and clinical context",,,,,,,https://arxiv.org/abs/2607.05880,,,Google Scholar
17,HERO: Hierarchical Evidential Reasoning Optimization for Radiology Report Generation via Reason-then-Summarize,,,,,,,https://arxiv.org/abs/2601.03321,,,Google Scholar
18,"AnatomiX, an Anatomy-Aware Grounded Multimodal Large Language Model for Chest X-Ray Interpretation",,,,,,,https://arxiv.org/abs/2601.03191,,,Google Scholar
19,A clinically accessible small multimodal radiology model and evaluation metric for chest X-ray findings,,,,,,,https://www.nature.com/articles/s41467-025-58344-x,,,Google Scholar
20,ChestX-Transcribe: a multimodal transformer for automated radiology report generation from chest x-rays,,,,,,,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1535168/full?utm_source=chatgpt.com,,,Google Scholar
21,ChestX-VQA: AI Tool for Multimodal Chest X-ray,,,,,,,https://assets-eu.researchsquare.com/files/rs-7563215/v1_covered_2566e428-a3dd-4d99-9b0a-042151fa8cdf.pdf?c=1765990531,,,Google Scholar
22,A Deep Learning Framework for Real-Time Image Processing in Medical Diagnostics: Enhancing Accuracy and Speed in Clinical Applications,,,,,,,https://arxiv.org/abs/2510.16611,,,Google Scholar
23,Local edge computing for radiological image reconstruction and computer-assisted detection: A feasibility study,,,,,,,https://journal.fi/finjehew/article/view/122647,,,Google Scholar
24,LLaMA32-Med: Parameter-Efficient Adaptation of Multimodal LLMs for Medical Visual Question Answering,,,,,,,https://openreview.net/forum?id=qGgZZwEeef#discussion,,,Google Scholar
25,Multimodal artificial intelligence models for radiology,,,,,,,https://academic.oup.com/bjrai/article/2/1/ubae017/7959794,,,Google Scholar
26,Assessing the Effectiveness of Transfer Learning in Chest X-Ray Analysis With the BRAX Dataset,,,,,,,https://ieeexplore.ieee.org/abstract/document/11165335,,,Google Scholar
27,Towards Automatic Detection of Pneumothorax in Emergency Care with Deep Learning Using Multi-Source Chest X-ray Data,,,,,,,https://www.mdpi.com/1999-5903/17/7/292,,,Google Scholar
28,Towards Comprehensive Benchmarking of Medical Vision Language Models,,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12699743/,,,Google Scholar
29,"Medical Vision-Language Models: Existing Technologies, Clinical Applications and Future Directions",,,,,,,https://www.mdpi.com/1424-8220/26/13/3998,,,Google Scholar
30,Redefining Radiology A Review of Artificial Intelligence Integration in Medical Imaging,,,,,,,https://pubmed.ncbi.nlm.nih.gov/37685300/,,,PubMed
31,Chest X-ray Foreign Objects Detection Using Artificial Intelligence,,,,,,,https://pubmed.ncbi.nlm.nih.gov/37762783/,,,PubMed
32,Utilizing Longitudinal Chest X-Rays and Reports to Pre-Fill Radiology Reports,,,,,,,https://pubmed.ncbi.nlm.nih.gov/37502627/,,,PubMed
33,AI-assisted detection for chest X-rays (AID-CXR): a multi-reader multi-case study protocol,,,,,,,https://pubmed.ncbi.nlm.nih.gov/39806695/,,,PubMed
34,Artificial intelligence in radiology and diagnostic imaging,,,,,,,https://pubmed.ncbi.nlm.nih.gov/41170113/,,,PubMed
35,Ethics of generative AI,,,,,,,https://pubmed.ncbi.nlm.nih.gov/36693706/,,,PubMed
36,Embracing Large Language Models for Medical Applications: Opportunities and Challenges,,,,,,,https://pubmed.ncbi.nlm.nih.gov/37378099/,EviRAG:SIGIR '26: Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval Pages 3753 - 3758,,PubMed
37,It Might Be Time to Get Serious about Generative AI in Radiology,,,,,,,https://pubmed.ncbi.nlm.nih.gov/39404630/,,,PubMed
38,Generative AI Reporting of Chest Radiographs Promise and Perspectives,,,,,,,https://pubmed.ncbi.nlm.nih.gov/40131104/,,,PubMed
