DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3728483.3760199,Sarashina2-Vision: Toward Vision – Language Models for Understanding Japanese Figures and Conceptual/Explanatory Diagrams,Seitaro Shinagawa,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760199,
10.1145/3728483,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,,2025,,proceedings,https://doi.org/10.1145/3728483,
10.1145/3701716.3717565,CubeRobot: Grounding Language in Rubik's Cube Manipulation via Vision-Language Model,Feiyang Wang; Xiaomin Yu; Wangyu Wu,2025,Companion Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3701716.3717565,
10.1145/3719160.3736633,DesignMinds: Enhancing Video-Based Design Ideation with a Vision-Language Model and a Context-Injected Large Language Model,Tianhao He; Andrija Stanković; Evangelos Niforatos; Gerd Kortuem,2025,Proceedings of the 7th ACM Conference on Conversational User Interfaces,proceedings-article,https://doi.org/10.1145/3719160.3736633,
10.1145/3689096.3689463,Visual Language Model for Preclinical Toxicologic Liver Histopathology Assessment,Zehua Cheng; Wei Dai; Jiahao Sun,2024,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,proceedings-article,https://doi.org/10.1145/3689096.3689463,
10.1145/3728483.3760196,Harvesting Temporal Correlation in Large Vision-Language Models: Using Pose Estimation as a Case Study,Tun-Yuan Chang; Kenneth Chandra; Cheng-Hsin Hsu,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760196,
10.1145/3732353.3732356,Visual Storage Battery Inspection via Large Vision-language Model,Cheng Wang; Can Zhang; Bin Hu; Bao Tang; Shikang Wang; Xinggang Wang,2025,Proceedings of the 2025 7th International Conference on Control and Computer Vision,proceedings-article,https://doi.org/10.1145/3732353.3732356,
10.1145/3664647.3689175,Tutorial: Large Language-Vision Model in Society,Kaicheng Yu; Zhuang Shao; Siyuan Qi; Dongfang Liu,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3689175,
10.1145/3701716.3717738,Explainable Vision-Language Model for Personalized Medicine,Md Sarwar Kamal; Sonia Farhana Nimmy; Wafa Alharbi,2025,Companion Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3701716.3717738,
10.1145/3654796,A Novel Pretrained General-purpose Vision Language Model for the Vietnamese Language,Dinh Anh Vu; Quang Nhat Minh Pham; Giang Son Tran,2024,ACM Transactions on Asian and Low-Resource Language Information Processing,journal-article,https://doi.org/10.1145/3654796,"Lying in the cross-section of computer vision and natural language processing, vision language models are capable of processing images and text at once. These models are helpful in various tasks: text generation from image and vice versa, image-text retrieval, or visual navigation. Besides building a model trained on a dataset for a task, people also study general-purpose models to utilize many datasets for multitasks. Their two primary applications are image captioning and visual question answering. For English, large datasets and foundation models are already abundant. However, for Vietnamese, they are still limited. To expand the language range, this work proposes a pretrained general-purpose image-text model named VisualRoBERTa. A dataset of 600k images with captions (translated MS COCO 2017 from English to Vietnamese) is introduced to pretrain VisualRoBERTa. The model’s architecture is built using Convolutional Neural Network and Transformer blocks. Fine-tuning VisualRoBERTa shows promising results on the ViVQA dataset with 34.49% accuracy, 0.4173 BLEU 4, and 0.4390 RougeL (in visual question answering task), and best outcomes on the sViIC dataset with 0.6685 BLEU 4, 0.6320 RougeL (in image captioning task)."
