DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3769102.3774241,How Heavy is the Edge? Resource Utilization of Edge Generative AI on Distributed AI Infrastructure,Liang Wu; Zhen Zeng; Zhongshu Gu; Pengxia Wu,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774241,
10.1145/3828755,Dignity-Aware AI: Positioning Edge and Federated Intelligence for Ethical Elderly Monitoring,Xun Shao,2026,ACM AI Letters,journal-article,https://doi.org/10.1145/3828755,"The rapid integration of artificial intelligence into elderly monitoring systems has primarily emphasized safety—detecting falls, anomalies, or emergencies—while overlooking the deeper human dimension of dignity. This paper advances the concept of dignity-aware AI, a position that redefines how edge and federated intelligence can support autonomy, privacy, and ethical accountability in aging societies. Rather than proposing new algorithms, the paper argues for a shift in architectural thinking: computation locality and model governance should be treated as moral design parameters. By embedding ethical reasoning directly into system topology, dignity-aware AI transforms monitoring from surveillance into partnership. The discussion outlines a research roadmap linking technical maturity with ethical responsibility and calls for new value metrics that measure respect, trust, and human agency alongside performance. This opinion piece aims to provoke dialogue across AI ethics, distributed systems, and human-centered design."
10.1145/3769102.3774383,Poster: Managing Heterogeneity in Far-Edge AI,Vedant Patil; Christopher Stewart,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774383,
10.1145/3769102.3774376,"Demo: Edge Manageability Framework — Scalable, Secure Infrastructure Management for Edge AI",Scott Baker; Beatriz Palmeiro,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774376,
10.1145/3769696.3771220,Co-Designing the Edge and Cloud for Scalable and Secure AI Inference,Mu Yuan,2025,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,proceedings-article,https://doi.org/10.1145/3769696.3771220,
10.1145/3737899,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,,2025,,proceedings,https://doi.org/10.1145/3737899,
10.1145/3769696,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,,2025,,proceedings,https://doi.org/10.1145/3769696,
10.1145/3675888.3676089,Novel System based on Amalgamation of Embedded systems and Edge AI for Hand Gesture Recognition: An Edge AI Solution for Hand Gesture Recognition,Gargi Singh; Saanika Gautam; Yugnanda Puri; Jolly Parikh; Gargi Mishra,2024,Proceedings of the 2024 Sixteenth International Conference on Contemporary Computing,proceedings-article,https://doi.org/10.1145/3675888.3676089,
10.1145/3769696.3771217,Cloud-Edge Collaborative Semantic Segmentation with Complexity-Aware Inference,Yijun Song; Peng Fu,2025,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,proceedings-article,https://doi.org/10.1145/3769696.3771217,
10.1145/3615338,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",,2023,,proceedings,https://doi.org/10.1145/3615338,
10.1145/3733702,Generative AI at the Edge: Challenges and Opportunities,Vijay Janapa Reddi,2025,Queue,journal-article,https://doi.org/10.1145/3733702,"Generative AI at the edge is the next phase in AI's deployment: from centralized supercomputers to ubiquitous assistants and creators operating alongside humans. The challenges are significant but so are the opportunities for personalization, privacy, and innovation. By tackling the technical hurdles and establishing new frameworks (conceptual and infrastructural), we can ensure this transition is successful and beneficial."
10.1145/3737899.3768520,AROM: Control-Theoretic Learning for Resilient and Decentralized Edge Intelligence,Eunju Jeong; Dong-oh Kang,2025,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,proceedings-article,https://doi.org/10.1145/3737899.3768520,
10.1145/3624486.3624496,LinkEdge: Open-sourced MLOps Integration with IoT Edge,Ella Peltonen; Savidu Dias,2023,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",proceedings-article,https://doi.org/10.1145/3624486.3624496,
10.1145/3722543,Bringing AI to the Edge,Gregory Mone,2025,Communications of the ACM,journal-article,https://doi.org/10.1145/3722543,The drive to bring the processing of data closer to its users.
10.1145/3774900.3776637,Agent Shadowing: Edge-Driven Seamless Integration for Edge and Cloud AI Agents,Mrinmoy Sarkar; Anand Todkar; Jitendra Solanki,2025,Proceedings of the International Workshop on Middleware for IT/OT Integration,proceedings-article,https://doi.org/10.1145/3774900.3776637,
10.1145/3812836.3814789,Pareto-Optimal Selection of Text Embeddings for Edge AI,Jorge Martinez-Gil,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services Workshops",proceedings-article,https://doi.org/10.1145/3812836.3814789,
10.1145/3624486,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",,2023,,proceedings,https://doi.org/10.1145/3624486,
10.1145/3769696.3771216,ECSAM: An Edge-cloud Video Analytics Architecture for the Segment Anything Model,Rui Lu; Siping Shi; Dan Wang,2025,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,proceedings-article,https://doi.org/10.1145/3769696.3771216,
10.1145/3737899.3768515,FedPETv1: Edge-Aware Federated Learning with Differential Privacy for Distributed Medical Diagnostics,Shan-cang Li; Shanshan Zhao; Yongjian Ding,2025,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,proceedings-article,https://doi.org/10.1145/3737899.3768515,
10.1145/3589010.3594890,EDGELESS Project: On the Road to Serverless Edge AI,Claudio Cicconetti; Emanuele Carlini; Antonio Paradell,2023,Proceedings of the 3rd Workshop on Flexible Resource and Application Management on the Edge,proceedings-article,https://doi.org/10.1145/3589010.3594890,
10.1145/3744504.3744519,Edge AI Consensus: Blockchain-Secured Federated Learning for Trustless Intelligence Network,Shubham Gupta; Kusumakumari Vanteru; Prasad Gadiraju; Srinivas Reddy,2025,"Proceedings of the 2025 2nd International Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3744504.3744519,
10.1145/3615338.3618131,HyT-NAS: Hybrid Transformers Neural Architecture Search for Edge Devices,Lotfi Abdelkrim Mecharbat; Hadjer Benmeziane; Hamza Ouarnoughi; Smail Niar,2023,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",proceedings-article,https://doi.org/10.1145/3615338.3618131,
10.1145/3769696.3771219,ED-Res: Splitting ResNet with Collaborate Distributed Inference on Edge Devices,Xiang Liu; Yijun Song; Zelan Li; Jianning Chi; Linshan Jiang; Jialin Li,2025,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,proceedings-article,https://doi.org/10.1145/3769696.3771219,
10.1145/3624486.3624498,Feature Estimation for Punching Tool Wear at the Edge,Jukka Junttila; Kalle Raunio; Petteri Kokkonen; Olli Saarela,2023,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",proceedings-article,https://doi.org/10.1145/3624486.3624498,
10.1145/3789982.3790033,AI-qua Lens: An Ethno-Marine Cloud-Managed Edge AI Knowledge System for Rapid Fish Identification Using MobileNet Transfer Learning,Von Gerald D. Macose,2025,Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,proceedings-article,https://doi.org/10.1145/3789982.3790033,
10.1145/3769102.3774384,Poster: An Edge-to-Cloud Framework for Vigilance-Adaptive Drones,Penelope Covey; Jenna Kline; Christopher Stewart,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774384,
10.1145/3721888.3722095,Compiler-aware AI Hardware Design for Edge Devices,Paul Palomero Bernardo; Patrick Schmid; Christoph Gerum; Oliver Bringmann,2025,"Proceedings of the 8th International Workshop on Edge Systems, Analytics and Networking",proceedings-article,https://doi.org/10.1145/3721888.3722095,
10.1145/3615338.3618122,Scaling Up Quantization-Aware Neural Architecture Search for Efficient Deep Learning on the Edge,Yao Lu; Hiram Rayo Torres Rodriguez; Sebastian Vogel; Nick Van De Waterlaat; Pavol Jancura,2023,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",proceedings-article,https://doi.org/10.1145/3615338.3618122,
10.1145/3812835.3814820,Collaborative Edge AI for Physical Agents,Liekang Zeng,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services Companion",proceedings-article,https://doi.org/10.1145/3812835.3814820,
10.1145/3629526.3649131,Optimizing Edge AI: Performance Engineering in Resource-Constrained Environments,Giuliano Casale,2024,Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering,proceedings-article,https://doi.org/10.1145/3629526.3649131,
10.1145/3737899.3768523,SONAR Web: A Platform-Agnostic Framework for Real-Time Decentralized Learning Across Heterogeneous Edge Clients,Joyce Yuan; Brian Le; Kathryn Le; Yichuan Shi; Abhishek Singh; Rishi Sharma; Angel Patricio; Ramesh Raskar,2025,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,proceedings-article,https://doi.org/10.1145/3737899.3768523,
10.1145/3615338.3618130,Integration of a systolic array based hardware accelerator into a DNN operator auto-tuning framework,Federico Nicolas Peccia; Oliver Bringmann,2023,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",proceedings-article,https://doi.org/10.1145/3615338.3618130,
10.1145/3789982.3790051,A Parametric Latency Model for Optimizing Edge AI Architectures,Ioannis Patias; Koutaro Hachiya,2025,Proceedings of the 2025 8th Artificial Intelligence and Cloud Computing Conference,proceedings-article,https://doi.org/10.1145/3789982.3790051,
10.1145/3769102.3770616,Does Accurate Real-Time AI Need Edge Offload?,Qifei Dong; Jingao Xu; Padmanabhan Pillai; Mahadev Satyanarayanan,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3770616,
10.1145/3639856.3639874,Binary Convolutional Neural Network for Efficient Gesture Recognition at Edge,Jayeeta Mondal; Swarnava Dey; Arijit Mukherjee,2023,Proceedings of the Third International Conference on AI-ML Systems,proceedings-article,https://doi.org/10.1145/3639856.3639874,
10.1145/3812835.3814828,Building Efficient Inference Systems for Resource-Constrained Edge AI Deployment,Xiangyu Li,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services Companion",proceedings-article,https://doi.org/10.1145/3812835.3814828,
10.1145/3765515.3771711,ACM CoNEXT Workshop on Edge-Cloud Collaboration with AI (ECCAI 2025),Jialin Li; Song Yang,2025,Proceedings of the 21st International Conference on emerging Networking EXperiments and Technologies,proceedings-article,https://doi.org/10.1145/3765515.3771711,
10.1145/3748273.3749205,A Cloud-Edge Collaborative Inference System for Data-secure LLM Serving,Wenjie Chu; Yunfeng Shao; Chunhui Du,2025,Proceedings of the 2nd Workshop on Networks for AI Computing,proceedings-article,https://doi.org/10.1145/3748273.3749205,
10.1145/3639856.3639875,Designing a Bare Minimum Face Recognition Architecture for Bare Metal Edge Devices: An Experience Report,Swarnava Dey,2023,Proceedings of the Third International Conference on AI-ML Systems,proceedings-article,https://doi.org/10.1145/3639856.3639875,
10.1145/3760023.3760069,Research on AI-Driven Cutting-Edge Trends and Applications in Smart Construction Technology Innovation,Tian Lu,2025,Proceedings of the 2025 International Conference on Management Science and Computer Engineering,proceedings-article,https://doi.org/10.1145/3760023.3760069,
10.1145/3769696.3771221,Decoding Your Body with Ubiquitous Sensing: Wearable and Contactless Perception for Health and Beyond,Wentao Xie,2025,Proceedings of the 2025 ACM CoNEXT Workshop Edge-Cloud Collaboration for AI,proceedings-article,https://doi.org/10.1145/3769696.3771221,
10.1145/3639856.3639858,Design-Space Exploration of Systolic Array for Edge Inferencing Applications,Prashanth H C; Yash Dharmesh Mogal; Madhav Rao,2023,Proceedings of the Third International Conference on AI-ML Systems,proceedings-article,https://doi.org/10.1145/3639856.3639858,
10.1145/3624486.3624489,Cognitive Architecture for Process industries,Peter Bednar; Martin Sarnovsky; Jakub Ivan Vanko,2023,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",proceedings-article,https://doi.org/10.1145/3624486.3624489,
10.1145/3737899.3768525,Towards Lightweight Input Control for Cross-Device Federated Learning With Dynamic Participation,Christoph Düsing; Philipp Cimiano,2025,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,proceedings-article,https://doi.org/10.1145/3737899.3768525,
10.1145/3615338.3618125,Deploying Machine Learning Models to Ahead-of-Time Runtime on Edge Using MicroTVM,Chen Liu; Matthias Jobst; Liyuan Guo; Xinyue Shi; Johannes Partzsch; Christian Mayr,2023,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",proceedings-article,https://doi.org/10.1145/3615338.3618125,
10.1145/3786335.3813216,GRAFT: gRPC-Routed Agent Framework for Tasking in Edge and Personal Devices,Chinmay Shringi; Alon Hillel-Tuch; Sariya Rizwan,2026,Proceedings of the ACM Conference on AI and Agentic Systems,proceedings-article,https://doi.org/10.1145/3786335.3813216,
10.1145/3764919.3770877,Edge Length Loss for Improved Building Polygon Extraction,Kuanren Qian; Mohamed Moustafa,2025,Proceedings of the 4th ACM SIGSPATIAL International Workshop on Spatial Big Data and AI for Industrial Applications,proceedings-article,https://doi.org/10.1145/3764919.3770877,
10.1145/3615338.3618123,ART: An Actor transition systems RunTime for enabling efficient partitioning of neural network graphs,Endri Bezati,2023,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",proceedings-article,https://doi.org/10.1145/3615338.3618123,
10.1145/3743646.3750011,Ptah: Teaching Computer Architecture through NLP-Controlled Drones with Edge AI and Kubernetes,Mohamed El-Hadedy; Benny Cheng; Wen-Mei Hwu,2025,Proceedings of the Workshop on Computer Architecture Education,proceedings-article,https://doi.org/10.1145/3743646.3750011,
10.1145/3812835.3814808,Efficient On-Device Intelligence: From Continual Adaptation to Generative AI on Edge Devices,Young D. Kwon,2026,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services Companion",proceedings-article,https://doi.org/10.1145/3812835.3814808,
10.1145/3660605.3660941,ECO-LLM: LLM-based Edge Cloud Optimization,Kunal Rao; Giuseppe Coviello; Priscilla Benedetti; Ciro Giuseppe De Vita; Gennaro Mellone; Srimat Chakradhar,2024,Proceedings of the 2024 Workshop on AI For Systems,proceedings-article,https://doi.org/10.1145/3660605.3660941,
10.1145/3737899.3768519,Efficient Federated Model Aggregation through Neural Velocity,Gianluca Dalmasso; Pedro Porto Buarque de Gusmão; Attilio Fiandrotti; Marco Grangetto,2025,Proceedings of the Federated Learning and Edge AI for Privacy and Mobility,proceedings-article,https://doi.org/10.1145/3737899.3768519,
10.1145/3603166.3632546,Distributed Edge AI Systems,Fei Hu; Kunal Mehta; Shivakant Mishra; Mohammad AlMutawa,2023,Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing,proceedings-article,https://doi.org/10.1145/3603166.3632546,
10.1145/3587819.3590986,MOSAIC: Spatially-Multiplexed Edge AI Optimization over Multiple Concurrent Video Sensing Streams,Ila Gokarn; Hemanth Sabbella; Yigong Hu; Tarek Abdelzaher; Archan Misra,2023,Proceedings of the 14th ACM Multimedia Systems Conference,proceedings-article,https://doi.org/10.1145/3587819.3590986,
10.1145/3583120.3589819,"Poster Abstract: DVFO: Dynamic Voltage, Frequency and Offloading for Efficient AI on Edge Devices",Ziyang Zhang; Yang Zhao; Jie Liu,2023,The 22nd International Conference on Information Processing in Sensor Networks,proceedings-article,https://doi.org/10.1145/3583120.3589819,
10.1145/3676536.3697131,Error Correction and Detection for Analog AI Computing in Edge Systems,Anxiao Jiang,2024,Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design,proceedings-article,https://doi.org/10.1145/3676536.3697131,
10.1145/3625549.3658812,Seamless HW-accelerated AI serving in heterogeneous MEC Systems with AI@EDGE,Achilleas Tzenetopoulos; George Lentaris; Aimilios Leftheriotis; Panos Chrysomeris; Javier Palomares; Estefanía Coronado; Raman Kazhamiakin; Dimitrios Soudris,2024,Proceedings of the 33rd International Symposium on High-Performance Parallel and Distributed Computing,proceedings-article,https://doi.org/10.1145/3625549.3658812,
