DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3776759.3776826,Survey of Quantization-Aware Training (QAT) Applications in Deep Learning Quantization,Jiaqi Zhang,2025,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences,proceedings-article,https://doi.org/10.1145/3776759.3776826,
10.1145/3718391.3727883,A New 2-bit Model Quantization Method Based on Non-uniform Quantization,Dongmin Li; Bowen Chen; Dongyang Zhang,2024,Proceedings of the 2024 the 12th International Conference on Information Technology (ICIT),proceedings-article,https://doi.org/10.1145/3718391.3727883,
10.1145/3746252.3761077,"Quantization Aware Matryoshka Adaptation: Leveraging Matryoshka Learning, Quantization, and Bitwise Operations for Reduced Storage and Improved Retrieval Speed",Faizan Ahemad,2025,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,proceedings-article,https://doi.org/10.1145/3746252.3761077,
10.1145/3725899.3725906,MBCQ: Mixed-bias compensation quantization for extremely low-bit post-training quantization,Zherui Fan; Ke Qin; Xiao Wang; Dongyang Zhang; Tao He,2025,Proceedings of the 2025 8th International Conference on Software Engineering and Information Management,proceedings-article,https://doi.org/10.1145/3725899.3725906,
10.1145/3711896.3736914,Does Vector Quantization Fail in Spatio-Temporal Forecasting? Exploring a Differentiable Sparse Soft-Vector Quantization Approach,Chao Chen; Tian Zhou; Yanjun Zhao; Hui Liu; Rong Jin; Liang Sun,2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,proceedings-article,https://doi.org/10.1145/3711896.3736914,
10.1145/3640471.3686647,Post Training Quantization Strategies for Diffusion Models,Jayneel Vora,2024,26th International Conference on Mobile Human-Computer Interaction,proceedings-article,https://doi.org/10.1145/3640471.3686647,
10.1145/3746027.3755856,Quantization Meets OOD: Generalizable Quantization-aware Training from a Flatness Perspective,Jiacheng Jiang; Yuan Meng; Chen Tang; Han Yu; Qun Li; Zhi Wang; Wenwu Zhu,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755856,
10.1145/3822454.3822457,Quantization of Spiking Neural Networks Beyond Accuracy,Evan Smith; Jacob Whitehill; Fatemeh Ganji,2026,Proceedings of the International Conference on Neuromorphic Systems,proceedings-article,https://doi.org/10.1145/3822454.3822457,
10.1145/3716368.3735291,Energy-Efficient Quantization-Aware Training with Dynamic Bit-Width Optimization,Ali Karkehabadi; Avesta Sasan,2025,Proceedings of the Great Lakes Symposium on VLSI 2025,proceedings-article,https://doi.org/10.1145/3716368.3735291,
10.1145/3664647.3681451,QNCD: Quantization Noise Correction for Diffusion Models,Huanpeng Chu; Wei Wu; Chengjie Zang; Kun Yuan,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3681451,
