DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3643794.3648274,On the Industrial Leadership and Involvement in the LwM2M IoT Ecosystem,Gregorio Robles; Jonas Gamalielsson; Bjorn Lundell; Christoffer Brax; Tomas Persson; Anders Mattsson; Tomas Gustavsson; Jonas Feist; Jonas Öberg,2024,Proceedings of the ACM/IEEE 6th International Workshop on Software Engineering Research &amp; Practices for the Internet of Things,proceedings-article,https://doi.org/10.1145/3643794.3648274,
10.1145/3673659,Half a Step Behind—Bulk Disclosure of Confidential Data in Third-party GenAI Solutions under the Swedish Public Access to Information and Secrecy Act,Björn Lundell; Mathias Lindroth; Jonas Gamalielsson; Andrew Katz; Christoffer Brax; Tomas Persson; Anders Mattsson; Tomas Gustavsson; Jonas Feist; Jonas Öberg,2025,Digital Government: Research and Practice,journal-article,https://doi.org/10.1145/3673659,"Technological progress poses unique challenges for the public sector. New technology should be adopted, but it must always be done within the framework of good administration. It follows laws governing public administration must be continuously adapted. Sweden recently amended its secrecy legislation to facilitate the use of third-party cloud solutions by public authorities. When the amendment was enacted, most public sector organisations had already been using external cloud solutions for a long time. Today, there is as much pressure on authorities to implement Artificial Intelligence technology as there ever was to move administration into the cloud. This article uses traditional legal methodology to investigate whether the Swedish secrecy legislation adequately enables the use of cloud-based GenAI solutions. Findings indicate that the recent amendment is likely insufficient and that there are significant practical hurdles for the application of the law, particularly with services from global cloud providers. The article contributes to the understanding of Swedish law, and of the difficulties that can occur anywhere when policy makers and legislators do not move in tandem."
10.1145/3643834.3660680,Behind the Scenes of CXR: Designing a Geo-Synchronized Communal eXtended Reality System,Sharon Yavo-Ayalon; Yuzhen Zhang; Ruixiang Han; Swapna Joshi; Fanjun Bu; Cooper Murr; Lunshi Zhou; Wendy Ju,2024,Designing Interactive Systems Conference,proceedings-article,https://doi.org/10.1145/3643834.3660680,
10.1145/3555776.3577825,Mobile Freeze-Net with Attention-based Loss Function for Covid-19 Detection from an Imbalanced CXR Dataset,Santanu Roy; Rahul Khurana,2023,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,proceedings-article,https://doi.org/10.1145/3555776.3577825,
10.1145/3539618.3591918,Automated Medical Coding on MIMIC-III and MIMIC-IV: A Critical Review and Replicability Study,Joakim Edin; Alexander Junge; Jakob D. Havtorn; Lasse Borgholt; Maria Maistro; Tuukka Ruotsalo; Lars Maaløe,2023,Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,proceedings-article,https://doi.org/10.1145/3539618.3591918,
10.1145/3625403.3625411,Enabling Accurate Tuberculosis Diagnosis through Deep Learning on Patient CXR Images,Yuan Chun Shu; Ming Liu,2023,"Proceedings of the 2023 2nd International Conference on Algorithms, Data Mining, and Information Technology",proceedings-article,https://doi.org/10.1145/3625403.3625411,
10.1145/3672539.3686748,PronounSE: SFX Synthesizer from Language-Independent Vocal Mimic Representation,Riki Takizawa; Shigeyuki Hirai,2024,The 37th Annual ACM Symposium on User Interface Software and Technology,proceedings-article,https://doi.org/10.1145/3672539.3686748,
10.1145/3670865.3673632,Can LLMs Mimic Human-Like Mental Accounting and Behavioral Biases?,Yan Leng,2024,Proceedings of the 25th ACM Conference on Economics and Computation,proceedings-article,https://doi.org/10.1145/3670865.3673632,
10.1145/3745034.3745114,Machine Learning for 90-Day Mortality Prediction in ICU Patients with Epilepsy: A Retrospective Analysis Using MIMIC-IV,Changze Li,2025,Proceedings of the 4th International Conference on Biomedical and Intelligent Systems,proceedings-article,https://doi.org/10.1145/3745034.3745114,
10.1145/3715928.3737491,Gotta Catch 'Em All... Or Not?: How LLMs Bypass Traditional Checks &amp; Mimic Human Response Behavior in Web Surveys,Saijal Shahania; Myra Spiliopoulou; David Broneske,2025,Proceedings of the ACM Collective Intelligence Conference,proceedings-article,https://doi.org/10.1145/3715928.3737491,
