DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3797248.3815411,Energy and Carbon Footprint of Vision-Language-Action Model Inference for Edge Robotic Systems,Arshia Eslami; Mahsa Ardakani; Amin Roostaee; Hasti Zanganeh; Ramtin Zand,2026,Proceedings of the 16th ACM International Green and Sustainable Computing Conference,proceedings-article,https://doi.org/10.1145/3797248.3815411,
10.1145/3769102.3774433,Reinforcement Learning-Guided Large Language Model Fine-Tuning for Privacy-Preserving Text Rewriting,Zhan Shi; Yefeng Yuan; Liang Cheng; Yuhong Liu,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774433,
10.1145/3786757,Introduction to the Special Issue on Large Language and Vision Models on the Edge,Zonghua Gu; Shaohua Wan; Zehui Xiong; Chun Jason Xue,2026,ACM Transactions on Embedded Computing Systems,journal-article,https://doi.org/10.1145/3786757,
10.1145/3728483.3760199,Sarashina2-Vision: Toward Vision – Language Models for Understanding Japanese Figures and Conceptual/Explanatory Diagrams,Seitaro Shinagawa,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760199,
10.1145/3583740.3626806,Human-Autonomy Teaming on Autonomous Vehicles with Large Language Model-Enabled Human Digital Twins,Can Cui; Yunsheng Ma; Xu Cao; Wenqian Ye; Ziran Wang,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3626806,
10.1145/3744504.3744506,BA-ViT: Bound-Aware Quantized Vision Transformers for ORSI Salient Object Detection,Jinfeng Zhang; Tianpeng Liu,2025,"Proceedings of the 2025 2nd International Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3744504.3744506,
10.1145/3704323.3704374,Leveraging Large Language and Vision Assistant Model for Multi Camera Appearance Features,Oliver Zeilerbauer; Mohammad Reza Mohebbi; Mario Doeller,2024,Proceedings of the 2024 13th International Conference on Computing and Pattern Recognition,proceedings-article,https://doi.org/10.1145/3704323.3704374,
10.1145/3672608.3707792,Energy-Aware Vision Model Partitioning for Edge AI,Dewant Katare; Mengying Zhou; Yang Chen; Marijn Janssen; Aaron Yi Ding,2025,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,proceedings-article,https://doi.org/10.1145/3672608.3707792,
10.1145/3807782,Efficient Addition-Based Sparse GEMM for Fast Ternary Large Language Model Inference on Edge Devices,Shien Zhu; Guanshujie Fu; Mila Kjoseva; Gustavo Alonso,2026,ACM Transactions on Embedded Computing Systems,journal-article,https://doi.org/10.1145/3807782,"Large Language Models (LLMs) are the new dominant application but suffer from high memory and computational cost. Ternary LLMs have been proposed for easier deployment on edge platforms as 2-bit ternary weights {-1, 0, +1} can reduce the model size by 16× compared to 32-bit Floating-Point (FP32) representations. In addition, ternary General Matrix Multiplication (GEMM) can reduce the computational complexity by performing addition and subtraction operations with non-zero weights only. However, existing Central Processing Unit (CPU) and Graphic Processing Unit (GPU) do not support native 2-bit operations, and existing libraries like PyTorch and Compute Unified Device Architecture (CUDA) do not have dedicated computing kernels for ternary weights. Moreover, existing sparse formats like Compressed Sparse Column are not optimized for ternary values, causing extra storage and decompression overhead. In this article, we accelerate ternary LLMs on edge devices through efficient data formats and specialized computing kernels. We propose an efficient ternary sparse data format storing only the indices of non-zero values and simplifying the decompression at runtime. We also design a novel ternary GEMM algorithm that performs sparse addition on activations instead of multiplication to reduce the computation complexity. It achieves a 4× theoretical speedup over dense GEMM with 50% sparsity in weights. We have implemented these algorithms and optimized computing kernels on both x86 CPU and Nvidia GPUs. Evaluation results show that they achieve 1.3-3.9× speedup over Eigen Sparse GEMM, 3.3-6.9× speedup over PyTorch Sparse GEMM, and around 5.5× speedup over cuSPARSE. The GPU implementation can serve Llama-3 3B and 8B models on an RTX-3080Ti with 22 and 7 tokens/s, while the full-precision versions run out of memory."
10.1145/3728483,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,,2025,,proceedings,https://doi.org/10.1145/3728483,
10.1145/3769102.3772714,A Distributed Framework for Privacy-Enhanced Vision Transformers on the Edge,Zihao Ding; Mufeng Zhu; Zhongze Tang; Sheng Wei; Yao Liu,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3772714,
10.1145/3773274.3774663,Balancing Sustainability and Performance when Running Large Language Models in the IoT-Edge-Cloud Computing Continuum,Miguel Felipe Silva Vasconcelos; Rizos Sakellariou,2025,Proceedings of the 18th IEEE/ACM International Conference on Utility and Cloud Computing,proceedings-article,https://doi.org/10.1145/3773274.3774663,
10.1145/3677404.3677451,Concrete dam apparent crack detection algorithm based on improved DeepLabv3+ model,Linlin Wang; Junjie Li,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677451,
10.1145/3748522.3779908,CLAMP: Client-Oriented Adaptive Model Pruning for Stragglers in Federated Learning-enabled Mobile Edge Computing,Joy Nnenna Okolo; Jun Huang,2026,Proceedings of the 41st ACM/SIGAPP Symposium on Applied Computing,proceedings-article,https://doi.org/10.1145/3748522.3779908,
10.1145/3744504.3744517,Visual Translation Method Model for Cell Images: Optimization of Narrative Element Extraction,Jian Rao; Mengqi Xu,2025,"Proceedings of the 2025 2nd International Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3744504.3744517,
10.1145/3677404.3677414,Hybrid Prediction Model of Curtain Grouting Pressure Considering Residual Correction,Yushan Zhu; Zhu Yang; Jian Huang,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677414,
10.1145/3607947.3607969,Leveraging Towards Serverless Edge Computing Model for Intelligent IoMT Applications,Hemant K Apat; Ahmed Alkhayyat; Ankit Vidyarthi; Rabindra K Barik,2023,Proceedings of the 2023 Fifteenth International Conference on Contemporary Computing,proceedings-article,https://doi.org/10.1145/3607947.3607969,
10.1145/3701716.3717565,CubeRobot: Grounding Language in Rubik's Cube Manipulation via Vision-Language Model,Feiyang Wang; Xiaomin Yu; Wangyu Wu,2025,Companion Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3701716.3717565,
10.1145/3719160.3736633,DesignMinds: Enhancing Video-Based Design Ideation with a Vision-Language Model and a Context-Injected Large Language Model,Tianhao He; Andrija Stanković; Evangelos Niforatos; Gerd Kortuem,2025,Proceedings of the 7th ACM Conference on Conversational User Interfaces,proceedings-article,https://doi.org/10.1145/3719160.3736633,
10.1145/3677404.3677433,Decision Tree Implementation for Pavement Maintenance and Repair Based on Neural Network Model,Tingting Ding; Hui Wang,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677433,
10.1145/3714394.3756291,FuseLID: Vision-Language Model-Based Camera-Radar Fusion for Liquid Identification,Hongyu Deng; Jiangyou Zhu; He Chen,2025,Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing,proceedings-article,https://doi.org/10.1145/3714394.3756291,
10.1145/3677404.3677438,Stock Indexes Forecasting Based on CNN-GRU-XGBOOST Hybrid Model,Wei Zhu; QingChun Hu; MingCheng Wang; Kai Hu,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677438,
10.1145/3769102.3770612,Elastoformer: Enabling Dynamic Adaptivity via Elastic Model Transformation,Sudaksh Kalra; Dolly Sapra,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3770612,
10.1145/3689096.3689463,Visual Language Model for Preclinical Toxicologic Liver Histopathology Assessment,Zehua Cheng; Wei Dai; Jiahao Sun,2024,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,proceedings-article,https://doi.org/10.1145/3689096.3689463,
10.1145/3748522.3779780,Structured Extraction from Business Process Diagrams Using Vision-Language Models,Pritam Deka; Barry Devereux,2026,Proceedings of the 41st ACM/SIGAPP Symposium on Applied Computing,proceedings-article,https://doi.org/10.1145/3748522.3779780,
10.1145/3677404.3677448,Study on Fuzzy Comprehensive Analysis and Prediction Model for Long-term Hydrological Forecasting,Yong Du; Wenming Zhang; Pengyu Shao,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677448,
10.1145/3674981,Unsupervised Adversarial Example Detection of Vision Transformers for Trustworthy Edge Computing,Jiaxing Li; Yu’an Tan; Jie Yang; Zhengdao Li; Heng Ye; Chenxiao Xia; Yuanzhang Li,2025,"ACM Transactions on Multimedia Computing, Communications, and Applications",journal-article,https://doi.org/10.1145/3674981,"Many edge computing applications based on computer vision have harnessed the power of deep learning. As an emerging deep learning model for vision, Vision Transformer models have recently achieved record-breaking performance in various vision tasks. But many recent studies on the robustness of the Vision Transformer have shown that the Vision Transformer is still vulnerable to adversarial attacks and is easily affected by adversarial attacks, causing the model to misclassify the input. In this work, we ask an intriguing question: “Can Adversarial Perturbations against Vision Transformers be detected with model explanations?” Driven by this question, we observe that benign samples and adversarial examples have different attribution maps after applying the Grad-CAM interpretability method on the Vision Transformer model. We demonstrate that an adversarial example is a Feature Shift of the input data, which leads to an Attention Deviation of the visual model. We propose a framework for capturing the Attention Deviation of vision models to defend against adversarial attacks. Furthermore, experiments show that our model achieves expectative results."
