DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3722567.3727839,INVITED: Optimizing IoT Node Design for Edge Computing Applications,Irida Shallari,2025,Proceedings of the 4th International Workshop on Real-time and IntelliGent Edge computing,proceedings-article,https://doi.org/10.1145/3722567.3727839,
10.1145/3677404.3677428,Deep Reinforcement Learning for Collaborative Inference in Local- Edge Computing,Dehua Chen; Qinghe Dong; Qian He; Yiming Lin,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677428,
10.1145/3677404.3677405,Deep Reinforcement Learning offloading for Computation Cost Minimization of Wireless Powered Mobile Edge Computing,Hang Yu; Jun Yang,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677405,
10.1145/3583740.3628422,Poster: Real-Time Object Substitution for Mobile Diminished Reality with Edge Computing,Hongyu Ke; Haoxin Wang,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3628422,
10.1145/3785462.3815839,Llama Models Security: From OWASPs Benchmarking to Encoding-based ​ obfuscation attacks​,Nourin Shahin; Izzat Alsmadi,2026,Proceedings of the Practice and Experience in Advanced Research Computing 2026: Resilient Roots + Empowered Communities,proceedings-article,https://doi.org/10.1145/3785462.3815839,
10.1145/3744504,"Proceedings of the 2025 2nd international Conference on Edge Computing, Parallel and Distributed Computing",,2025,,proceedings,https://doi.org/10.1145/3744504,
10.1145/3677404,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",,2024,,proceedings,https://doi.org/10.1145/3677404,
10.1145/3769102.3774376,"Demo: Edge Manageability Framework — Scalable, Secure Infrastructure Management for Edge AI",Scott Baker; Beatriz Palmeiro,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774376,
10.1145/3583740.3626618,Poster: Extending VLANs to the Client - Opportunistic Edge Computing with EVPNs,Stephan Recker,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3626618,
10.1145/3769102.3774374,Demo: Generate Optimized Edge Stacks with the Edge Microvisor Toolkit &amp; OS Image Composer,Beatriz Palmeiro; Mats Agerstam,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774374,
10.1145/3744504.3744519,Edge AI Consensus: Blockchain-Secured Federated Learning for Trustless Intelligence Network,Shubham Gupta; Kusumakumari Vanteru; Prasad Gadiraju; Srinivas Reddy,2025,"Proceedings of the 2025 2nd International Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3744504.3744519,
10.1145/3677404.3677422,Research on Network Capabilities Exposure and Edge Application Enablement Across Operator Networks,Gao Chen; Ran Pang; Tao He; Xinxin Yi,2024,"Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing",proceedings-article,https://doi.org/10.1145/3677404.3677422,
10.1145/3769102,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,,2025,,proceedings,https://doi.org/10.1145/3769102,
10.1145/3583740,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,,2023,,proceedings,https://doi.org/10.1145/3583740,
10.1145/3722567.3727843,Local Ratio based Real-time Job Offloading and Resource Allocation in Mobile Edge Computing,Chuanchao Gao; Arvind Easwaran,2025,Proceedings of the 4th International Workshop on Real-time and IntelliGent Edge computing,proceedings-article,https://doi.org/10.1145/3722567.3727843,
10.1145/3797234,Proceedings of the 2026 International Conference on Cybersecurity and Edge Computing,,2026,,proceedings,https://doi.org/10.1145/3797234,
10.1145/3769102.3774381,"Poster: ""Semantic-Guided Skip Sampling and Soft Edge Compression for Real-Time Edge-Based Traffic Video Analytics""",Deng Pan; Timothy Wood; Samer Hamdar,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774381,
10.1145/3769102.3774241,How Heavy is the Edge? Resource Utilization of Edge Generative AI on Distributed AI Infrastructure,Liang Wu; Zhen Zeng; Zhongshu Gu; Pengxia Wu,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774241,
10.1145/3583740.3626632,Poster: Edge-Assisted Unsafe Driving Detection,Seyhan Ucar; Emrah Akin Sisbot; Kentaro Oguchi,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3626632,
10.1145/3659994.3660315,Urgent Edge Computing,Patrizio Dazzi; Luca Ferrucci; Marco Danelutto; Konstantinos Tserpes; Antonios Makris; Theodoros Theodoropoulos; Jacopo Massa; Emanuele Carlini; Matteo Mordacchini,2024,Proceedings of the 4th Workshop on Flexible Resource and Application Management on the Edge,proceedings-article,https://doi.org/10.1145/3659994.3660315,
10.1145/3583781.3590249,Fortified-Edge: Secure PUF Certificate Authentication Mechanism for Edge Data Centers in Collaborative Edge Computing,Seema G. Aarella; Saraju P. Mohanty; Elias Kougianos; Deepak Puthal,2023,Proceedings of the Great Lakes Symposium on VLSI 2023,proceedings-article,https://doi.org/10.1145/3583781.3590249,
10.1145/3769102.3774379,Poster: Deadline-aware Serverless SLAs for the Multi-tenant Edge,Emil Abbasov; Gabriel Parmer,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774379,
10.1145/3769102.3774386,Demo: EDGE-DC: Decentralized Edge Resource Sharing with Autonomous Clusters Using a Local Control Layer,Xiaotian Zhou; Dipankar Raychaudhuri,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774386,
10.1145/3583740.3626819,ExPECA: An Experimental Platform for Trustworthy Edge Computing Applications,Samie Mostafavi; Vishnu Narayanan Moothedath; Stefan Ronngren; Neelabhro Roy; Gourav Prateek Sharma; Sangwon Seo; Manuel Olguin Munoz; James Gross,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3626819,
10.1145/3583740.3626807,Towards a Scalable Architecture for Building Digital Twins at the Edge,Shivakant Mishra; Khaled Alanezi,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3626807,
10.1145/3571306.3571358,Reinforcement Learning for Real-Time Multi-Access Edge Computing,Kolichala Rajashekar,2023,Proceedings of the 24th International Conference on Distributed Computing and Networking,proceedings-article,https://doi.org/10.1145/3571306.3571358,
10.1145/3769102.3774437,Saliency-Guided Lightweight Backdoor Defense for Edge Intelligence,Zijian Zhang; Liang Wu; Zhen Zeng; Zhongshu Gu,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774437,
10.1145/3583740.3628423,Poster: Enhancing Autonomous Vehicles Safety through Edge-based Anomaly Detection,Qiren Wang; Ruijie Feng; Weisong Shi,2023,Proceedings of the Eighth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3583740.3628423,
10.1145/3722567.3727840,INVITED: Trusted Time for Untrusted Edge Systems,Fatima Anwar,2025,Proceedings of the 4th International Workshop on Real-time and IntelliGent Edge computing,proceedings-article,https://doi.org/10.1145/3722567.3727840,
10.1145/3722567,Proceedings of the 4th International Workshop on Real-time and IntelliGent Edge computing,,2025,,proceedings,https://doi.org/10.1145/3722567,
10.1145/3769102.3774377,Poster: Hybrid Monitoring for Side-Channel Security in Edge SoCs,Nishant Chinnasami; Rye Stahle Smith; Rasha Karakchi,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,proceedings-article,https://doi.org/10.1145/3769102.3774377,
