PMID,Titulo,Autores,Periodico,Data_Publicacao,DOI,Tipo_Publicacao,MeSH_Terms,Resumo,URL
42546602,From heatmaps to language: Explainable skin cancer diagnosis using CNN-VLM integration with an expert-annotated dataset.,"Ahmmed, Faysal; Antik, Asef Rahman; Mehnaj, Samanta; Alaly, Ajmy; Mridha, M F",Artificial intelligence in medicine,2026 Jul 29,10.1016/j.artmed.2026.103499,Journal Article,,"Skin cancer diagnosis relies on visual interpretation of lesion morphology, yet most deep learning models function as black boxes with limited clinical interpretability. This study presents an explainable diagnostic framework that integrates a fine-tuned Xception network with a Convolutional Block Attention Module (CBAM) for skin lesion classification and a domain-adapted vision-language model (VLM) for generating clinically meaningful explanations. The classifier was trained on a preprocessed and augmented HAM10000 dataset, while Grad-CAM++ was employed to highlight discriminative lesion regions. These heatmaps were manually annotated with expert morphological descriptions to construct a novel image-text corpus comprising 347 samples, which was subsequently used to parameter-efficiently fine-tune MedGemma-4B using Low-Rank Adaptation (LoRA). The proposed classifier achieved a test accuracy of 85.66% with an AUC of 0.9392 across seven lesion classes. Furthermore, the fine-tuned VLM improved the average explanation quality score from 62.14 to 87.86, representing a 25.72-point gain over the baseline according to automated LLM-based evaluation. The resulting framework provides clinicians with classification predictions, visual attention maps, and expert-aligned textual rationales, offering a practical step toward trustworthy and explainable AI for dermatological diagnosis.",https://pubmed.ncbi.nlm.nih.gov/42546602/
42515403,Toward Reliable Diabetic Retinopathy Screening.,"Braganca, Hendrio; Caliari, Italo P; Vital, Wington L; Fontenele, Antonio; Cavalcante, Sergio; Messias, Glaucio","Sensors (Basel, Switzerland)",2026 Jul 16,10.3390/s26144515,Journal Article,*Diabetic Retinopathy/diagnosis; Humans; Algorithms,"Diabetic retinopathy (DR) grading requires reliable five-grade severity assessment under substantial acquisition variability and cross-dataset distribution shift. We propose PRISM-DR, a multi-objective five-grade DR grading framework trained under a gradient-partitioned strategy. The architecture is organized as a feedforward pipeline: a data-driven preprocessing stage followed by a ConvNeXtV2-Base backbone, a Recurrent BiFPN neck for multi-scale feature fusion, a Frequency-Aware Fusion module, a lightweight multi-scale reasoning transformer, dual classification heads with gradient-isolated pathways (categorical and ordinal), and a prototype memory module for embedding regularization. The CORAL ordinal head operates through a dedicated projection layer and is gradient-isolated from the backbone; the backbone is shaped by the cross-entropy, prototype contrastive, and view-consistency objectives, which carry indirect ordinal signal through severity-weighted class penalties and grade-indexed cluster regularization. The model is trained in a multi-crop setting with a phased loss curriculum designed for severely imbalanced DR datasets. Evaluated across six datasets under Fixed-Source, Multi-Target (FSMT) protocols, PRISM-DR trained on EyePACS + DDR achieves QWK of 0.835 on IDRiD, 0.865 on APTOS2019, and 0.720 on Messidor-2, with in-domain QWK = 0.920 and AUC-PR = 0.941 on EyePACS, outperforming RETFound, RETFound-Green, and MedGemma-4B in AUC-PR across all evaluated datasets. Quantitative interpretability evaluation against 755 expert-annotated lesion images yields 8.0x Energy Ratio Enrichment and a FAF gate retention ratio of 4.4x inside lesion regions, confirming that anatomically plausible spatial priors emerge from grade-level supervision alone, without pixel-level annotation. PRISM-DR establishes a superior accuracy-robustness-capacity trade-off for scalable, automated DR screening.",https://pubmed.ncbi.nlm.nih.gov/42515403/
42446636,Data-efficient Neuroradiology MRI Imaging Protocol Prediction Using Open-weights Large Language Models.,"Vach, Marius; Boschenriedter, Christian; Weiss, Daniel; Ivan, Vivien Lorena; Radke, Karl Ludger; Caspers, Julian; Rubbert, Christian",Clinical neuroradiology,2026 Jul 14,10.1007/s00062-026-01701-0,Journal Article,,"PURPOSE: To evaluate the feasibility of a locally deployable large language model (LLM) system for automated MRI protocol selection addressing data privacy, annotation burden, and scalability limitations. METHODS: This retrospective study included 598 German-language MRI order entries from three neuroradiology domains (brain, head/neck, spine) between June 2018 and January 2023. A radiologist labeled entries for 27 protocol classes based on institutional standard operating procedures (SOP). An SOP-grounded AI system using MedGemma 27B was developed to predict the MRI protocol from the order entry. The system was optimized using Stochastic Introspective Mini-Batch Ascent (SIMBA), a self-reflective prompt optimization algorithm, and compared with a hierarchical system that first classified the body region and then the MRI protocol. Data efficiency was evaluated using training subsets of 10-119 examples across 3 optimization runs per subset size. RESULTS: The flat zero-shot model achieved 73.07% accuracy in the three-domain setting on the held-out dataset (n = 479). In the hierarchical model, prompt optimization yielded 73.90% +/- 3.24% with 30 labeled examples and a maximum of 74.46% +/- 3.82% but did not outperform the flat approach. Prompt optimization benefited the hierarchical system, whereas the flat model already performed strongly without labeled examples for optimization. Performance on brain and head/neck cases remained broadly stable after expansion from 22 to 27 protocol classes, i.e., including spine. CONCLUSION: A locally deployable SOP-grounded open-weight LLM can support MRI protocol selection while preserving data privacy and needing minimal labeled data. In this dataset, hierarchical routing and prompt optimization did not improve overall performance over the flat baseline, although they altered optimization behavior and error profile. These findings support prospective evaluation in human-in-the-loop clinical workflows.",https://pubmed.ncbi.nlm.nih.gov/42446636/
42438545,PeruMedQA: A Stress Evaluation Using Ten Large Language Models to Answer Medical Exams.,"Carrillo-Larco, Rodrigo M",Medical science educator,2026 Jun,10.1007/s40670-026-02780-x,Journal Article,,"LLMs have demonstrated remarkable ability in answering medical examinations. However, whether their performance remains stable under stress evaluations is unknown. We used PeruMedQA (n=8,380), a multiple-choice question-answering dataset, and ten medical LLMs. The stress test consisted of randomly shuffling the multiple-choice answers. Using paired t-tests and Wilcoxon tests, we compared LLM accuracy on the original versus the shuffled exams. MedGemma 27B, OctoMed-7B, and Meditron 7B did not exhibit statistically significant differences, overall and stratified by year/specialty. The largest non-significant differences for these LLMs were -2.82, -3.15, and -5.96 percentage points, respectively. These three LLMs may represent robust options for AI applications in Spanish-speaking Latin America. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s40670-026-02780-x.",https://pubmed.ncbi.nlm.nih.gov/42438545/
42437116,Automated Review of Patient Records: Privacy-Preserving Large Language Models for Identifying Incident Nonarteritic Anterior Ischemic Optic Neuropathy at Scale.,"Nguyen, Tuyet Thao; Li, Kelvin Zhenghao; Chaitanuwong, Pareena; Moss, Heather Elspeth",Ophthalmology science,2026 Aug,10.1016/j.xops.2026.101265,Journal Article,,"PURPOSE: Retrospective identification of acute nonarteritic anterior ischemic optic neuropathy (NAION) cases is critical for research on risk factors. However, reliance on International Classification of Diseases (ICD) 10th edition coding for case identification has limited accuracy, and manual review of longitudinal electronic health records is time-intensive. The purpose of this study is to evaluate automated methods for retrospective identification of acute NAION cases using large language models (LLMs) that preserve patient privacy. DESIGN: Retrospective cross-sectional study. SUBJECTS: 165 patients with >/=1 ICD-10 code for ischemic optic neuropathy (H47.01 *) in the electronic health record at an academic medical center. METHODS: Five locally deployed LLM models (Mistral Small 3.1, Magistral Small, Gemma3, MedGemma, GPT-OSS 20B) were used to implement 4 approaches for acute NAION diagnostic classification using unstructured ophthalmology records (basic prompting, retrieval-augmented generation [RAG], 2-step agentic workflow, and 3-step agentic workflow). Ten percent of subjects were used for prompt refinement. Large language model/approach diagnostic classifications were compared against expert neuro-ophthalmologist diagnoses based on chart review. MAIN OUTCOME MEASURES: Positive predictive value (PPV) of LLM approaches for acute NAION case identification with expert chart review diagnosis serving as gold standard. Secondary outcomes included negative predictive value, sensitivity, specificity, accuracy, F1 score, and distribution of LLM/approach classifications. RESULTS: 7/17 prompt refinement subjects and 58/148 testing subjects had acute NAION by expert chart review corresponding to PPV of 0.39 for >/=1 ICD code. Large language model approaches accurately identified 20 +/- 12 (mean, standard deviation) acute NAION cases in the test set with PPV of 0.78 +/- 0.16 and accuracy of 0.69 +/- 0.06. The Mistral model using a 3-step agentic approach had the best-balanced performance (39 cases identified, 0.85 PPV, 0.82 accuracy, 0.75 F1 score). CONCLUSIONS: Privacy-preserving agentic LLM approaches can achieve high PPV for acute NAION case identification using unstructured ophthalmology longitudinal electronic health records. These results exceed the performance of using structured ICD codes to identify cases, offering a scalable, efficient method for case identification in retrospective research while maintaining patient confidentiality and local data control. This method has application for enhancing research efficiency and accuracy for studies on NAION risk factors, with potential applicability to other conditions requiring complex diagnostic review. FINANCIAL DISCLOSURES: Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article.",https://pubmed.ncbi.nlm.nih.gov/42437116/
42425805,Integrating 3D Volumetric Segmentation and LLM-Based Classification for csPCa Detection on mpMRI: Multi-Institutional External Validation.,"Wang, Kexin; Gao, Ge; Wang, Huihui; Wu, Jingyun; Wang, Xiangpeng; Wu, Pengsheng; Wang, Xiaoying",Academic radiology,2026 Jul 9,10.1016/j.acra.2026.06.029,Journal Article,,"RATIONALE AND OBJECTIVES: To develop and externally validate integrated models combining three-dimensional (3D) volumetric segmentation and large language model (LLM)-based slice-wise classification for improved detection of clinically significant Prostate Cancer (csPCa) on multiparametric Magnetic Resonance Imaging (mpMRI). MATERIALS AND METHODS: This retrospective multi-institutional study included 5050 patients (3896 for model development and 1154 for external validation) who underwent mpMRI. A 3D V-Net was trained for voxel-wise csPCa segmentation, generating three patient-level metrics: positive volume, positive slice count, and positive slice rate. A four-billion-parameter MedGemma-IT LLM was fine-tuned for slice-level classification, producing positive slice count and rate metrics. The optimal V-Net and LLM metrics were integrated into two combined models: Combined Model 1 (logistic regression of V-Net and LLM positive slice rates) and Combined Model 2 (zero-adjusted Gamma regression of V-Net positive volume and LLM positive slice rate). Performance was evaluated in the external validation cohort using area under the receiver operating characteristic curve (AUROC), area under the precision-recall curve (AUPRC), decision curve analysis (DCA), net reclassification improvement (NRI), and integrated discrimination improvement (IDI). RESULTS: In external validation, Combined Model 1 achieved an AUROC of 0.900 (95% CI: 0.882-0.918) and Combined Model 2 achieved 0.885 (95% CI: 0.865-0.905), significantly outperforming all individual V-Net and LLM metrics (DeltaAUROC: 0.060-0.145; all P < 0.001). Both combined models demonstrated significant improvements in NRI and IDI for most comparisons (P < 0.05 for most) and provided superior standardized net benefit across clinically relevant risk thresholds (0.3-0.9) on DCA. CONCLUSION: Integrating 3D volumetric segmentation with LLM-based slice-wise classification significantly improves csPCa detection accuracy and clinical utility compared to single-modality approaches, demonstrating promising generalizability in an independent, multi-institutional external validation cohort with substantial scanner and protocol heterogeneity.",https://pubmed.ncbi.nlm.nih.gov/42425805/
42390385,Extracting Medical Information From Unstructured Clinical Text Using Large Language Models to Enhance Health Care Interoperability: Proof-of-Concept Study.,"Eryilmaz, Bahadir; Arzideh, Kamyar; Bahn, Mikel; Damm, Hendrik; Warmer, Sina; Schafer, Henning; Idrissi-Yaghir, Ahmad; Pakull, Tabea M G; Albrecht, Lea Jessica; Kleesiek, Jens; Lodde, Georg; Friedrich, Christoph M; Livingstone, Elisabeth; Schadendorf, Dirk; Borys, Katarzyna; Nensa, Felix; Hosch, Rene",Journal of medical Internet research,2026 Jul 2,10.2196/92413,Journal Article,*Large Language Models; Humans; *Health Information Interoperability; Proof of Concept Study; *Electronic Health Records; Neoplasms,"BACKGROUND: Unstructured clinical text remains a major barrier to interoperable data reuse and large-scale secondary analysis in health care. Large language models (LLMs) have the potential to automate the extraction of structured clinical information; however, their application is limited by the scarcity of high-quality annotated training data. OBJECTIVE: To address these limitations, this study aims to develop and validate a scalable, privacy-preserving framework that uses synthetic data generated from structured Fast Healthcare Interoperability Resources (FHIR) to fine-tune open-source LLMs for the effective extraction of interoperable clinical information from unstructured text. METHODS: We evaluated an LLM-based framework for extracting structured clinical information from cancer-related discharge letters and mapping it to representations compatible with FHIR. To enable large-scale supervised training, we developed a random sample generator that creates synthetic discharge letters using Qwen3-235B by randomly sampling and aggregating structured FHIR data from 41,175 patients with cancer. The resulting synthetic discharge letters (n=75,000) were paired with their originating structured data, forming a large-scale dataset for fine-tuning MedGemma 27B, a 27-billion-parameter medical language model. Evaluation was conducted on the synthetic test dataset (n=7500), real-world discharge letters (n=30), which were evaluated by physicians and a medical student, and a comparative one-shot approach using open-source models (Qwen3, LLaMA, and GPT-OSS). RESULTS: The fine-tuned model achieved high extraction performance across multiple clinical entities on the synthetic test set, with F1-scores of 0.84 for full International Classification of Diseases diagnosis codes, 0.99 for tumor-related information, 0.99 for laboratory values, 0.99 for medication names and dosages, and 0.94 for Anatomical Therapeutic Chemical medication codes. The extraction of procedure-related information was more challenging, with F1-scores of 0.63 for OPS codes and 0.90 for procedure descriptions. The fine-tuned model consistently outperformed general-purpose LLMs in a one-shot comparison across nearly all extraction categories. When evaluated by physicians on real-world discharge letters, the model achieved case-level correctness rates of 78.9% for International Classification of Diseases diagnoses, 86.1% for tumor-related information, 93.0% for medications, and 61.3% for procedures. CONCLUSIONS: These results demonstrate that synthetic text generation from structured clinical data enables the effective and scalable training of LLMs for extracting interoperable, multientity clinical information from unstructured documentation.",https://pubmed.ncbi.nlm.nih.gov/42390385/
42346209,Assessment of Large Language Models in Colorectal Cancer Multidisciplinary Tumor Board Decision-Making: A Retrospective Single-Center Comparison of Guideline-Integrated General-Purpose vs. Domain-Specialized Models.,"Farzaliyeva, Aydan; Ramazanoglu, Mehmet Nezir; Oguz, Arzu; Altundag, Ozden; Akcali, Zafer","Current oncology (Toronto, Ont.)",2026 May 26,10.3390/curroncol33060309,Comparative Study; Journal Article,"Humans; Large Language Models; Retrospective Studies; *Colorectal Neoplasms/therapy; Female; Male; *Clinical Decision-Making/methods; Decision Support Systems, Clinical; Middle Aged","BACKGROUND: Large language models (LLMs) are emerging as clinical decision-support tools in oncology, yet their ability to generate reliable treatment recommendations in real-world multidisciplinary tumor board (MTB) settings remains uncertain, particularly for complex colorectal cancer (CRC). METHODS: In this retrospective study, 300 consecutive adult CRC cases discussed at a tertiary MTB were evaluated. Standardized de-identified case summaries were independently submitted to Gemini 2.5 (general-purpose, guideline-integrated) and MedGemma 27B (domain-specialized; T = 0.0 and T = 1.0). Concordance with MTB decisions was assessed using weighted Cohen's kappa (kappa), accuracy, F1 score, and recall. Safety was adjudicated by blinded senior MTB members using a three-tier risk framework. Importantly, Gemini 2.5 was evaluated in a guideline-integrated setting, whereas MedGemma operated without external guideline retrieval, introducing a predefined asymmetry in knowledge augmentation. RESULTS: Gemini 2.5 demonstrated substantial agreement (kappa = 0.792, p < 0.001), the highest exact concordance (85.0%), and a clinical safety rate of 83.7%, significantly outperforming MedGemma (p < 0.001). MedGemma showed moderate agreement at T = 0.0 (kappa = 0.566; accuracy = 70.3%) and modest improvement at T = 1.0 (kappa = 0.610; accuracy = 73.5%; p = 0.038), with lower safety rates (62.3% and 62.7%; p < 0.001). Discordance predominantly occurred in clinically complex scenarios, including surgical/interventional planning, active surveillance, recurrent disease management, and patients with compromised performance status. CONCLUSIONS: A guideline-integrated general-purpose LLM demonstrated superior concordance and safety compared with a domain-specialized model operating without external retrieval, supporting its adjunctive use within MTBs while preserving expert clinical judgment.",https://pubmed.ncbi.nlm.nih.gov/42346209/
42342199,Evaluation of Six Cutting-edge Large Language Models in Answering a Set of Open-ended Questions in Dental Case Reports.,"Zhang, Hexian; Yan, Xinyu; Yang, Yanqi; Jin, Lijian; Yang, Ping; Wang, Junwen",Journal of dentistry,2026 Jun 24,10.1016/j.jdent.2026.106853,Journal Article,,"OBJECTIVES: This study implemented a structured evaluation pipeline integrating automated metrics with expert scoring to assess six widely used large language models (LLMs) on their abilities to interpret longitudinal dental case vignettes through open-ended questions, aiming for providing practical guidance for dental practitioners. MATERIALS AND METHODS: Thirty-four standardized longitudinal periodontal case vignettes were sourced from a published textbook, generating 258 open-ended question-answer pairs. A controlled three-step prompting protocol was used to generate responses respectively from six LLMs, including GPT, Gemini, Copilot, DeepSeek, Llama and MedGemma. Performances were assessed using automated metrics (faithfulness, answer relevancy and readability) and blinded expert evaluation based on a 5-point Likert scale. RESULTS: There were significant differences across all evaluation metrics among the six models. DeepSeek achieved the highest expert ratings, with a median score of 4.5/5, outperforming other models such as GPT (4.0/5), Gemini (4.0/5), Copilot (4.0/5), MedGemma (3.75/5), and Llama (3.5/5). DeepSeek also demonstrated comparable or superior performance in faithfulness, answer relevancy, and readability. Distinct performance trade-offs were observed, where Copilot offered high readability at the cost of accuracy, Gemini tended to produce less relevant responses, and Llama generated less readable text. CONCLUSIONS: The evaluation pipeline enabled reproducible and transparent comparison of LLMs in dental case reasoning, and identified DeepSeek as a robust choice for answering open-ended dental questions. Dental practitioners should be aware of limitations of each current model, when selecting an AI tool for clinical or educational tasks. CLINICAL SIGNIFICANCE: This study provides a multi-dimensional evaluation framework that characterizes how current LLMs perform on open-ended dental questions. The results highlight meaningful differences across models and emphasize the need for practitioners to consider each model's strengths and limitations when selecting them for educational or decision-support tasks.",https://pubmed.ncbi.nlm.nih.gov/42342199/
42277236,"Benchmarking GPT-5, Gemini 2.5 Pro, Grok 4, and other LLMs on pediatric dentistry questions from a dental specialization exam.","Kayaci, Sukriye Turkoglu; Ilhan, Hamza Osman; Tassoker, Melek; Cap, Taha; Demir, Helin",Scientific reports,2026 Jun 11,10.1038/s41598-026-57392-7,Journal Article,,"Artificial intelligence (AI), particularly large language models (LLMs), is an increasingly prominent tool in medical and dental education. Trained with deep learning and NLP techniques, these models interpret meaning, generate text, and manage complex information. They hold potential for practical educational applications, such as supporting exam preparation and personalized learning. Moreover, their performance in clinical case recognition suggests an emerging potential for use in diagnostic decision-support systems. This study aimed to evaluate the performance of state-of-the-art large language models (LLMs) on pediatric dentistry questions from the Dentistry Specialization Examination (DUS) in Turkiye, a high-stakes national exam for postgraduate training. A total of 119 pediatric dentistry questions from the past ten years of the DUS were compiled and presented to 11 recently developed LLMs (17 with reasoning mode activations), including GPT-5, Gemini 2.5 Pro, Grok-4, and DeepSeek R1. Each model's accuracy (%) and average response generation time (seconds) were calculated and compared. The Gemini 2.5 Pro (92.44%) demonstrated significantly higher mean scores compared to all other models except GPT-4 (78.15%), GPT-5 (90.76%), GPTOSS (78.99, 75.63%), and Grok-4 (88.24%). Similar patterns were also observed for GPT-5 and Grok-4. In contrast, Qwen-3 (49.58 - Reasoning, 54.62 - No Reasoning), and MedGemma (58.82%) exhibited notably lower accuracy rates across most comparisons. Overall, these findings highlight Gemini 2.5 Pro and GPT-5 as achieving the highest accuracy levels among the models, whereas Qwen-3, Qwen-3 (R), and MedGemma demonstrated the weakest performance. While models such as Gemma, LLaMA, and Mistral demonstrated faster response times (<1 s), they exhibited relatively low accuracy. In contrast, reasoning-intensive modes (e.g., DeepSeek R1) improved accuracy but required excessively long generation times (up to 68 s). LLM performance on pediatric dentistry questions was highly variable. Top models, notably Gemini 2.5 Pro (92.44%) and GPT-5 (90.76%), approached expert-level accuracy, while others (e.g., Qwen-3) performed poorly. A critical speed-accuracy trade-off was evident: reasoning modes improved scores but were impractically slow, whereas faster models had low accuracy. This variability necessitates careful validation before LLMs are used in high-stakes dental education or assessment.",https://pubmed.ncbi.nlm.nih.gov/42277236/
