PaperId,Titulo,Autores,Ano,Data_Publicacao,Veiculo,DOI,ArXiv_ID,Resumo,URL
1a38a81c59acc9d2d8e8bebf53ee8d953dbdf079,Efficient Optimization of Multimodal Language Models for Processing Radiological Data using the ROCO Dataset,Danilo Felipe Neto; A. Amaral; Victor Hugo C. de Albuquerque,2025,2025-12-01,Anais do XVII Congresso Brasileiro de Inteligência Computacional,10.21528/cbic2025-1191702,,"This study investigates the computational efficiency and performance trade-offs of model optimization techniques like QLoRA, Knowledge Distillation (KD), and Pruning, when applied to large language models (LLMs) and small language models (SLMs) for radiology question-answering tasks. Using the ROCOv2 multimodal dataset, we systematically compare baseline models against their fine-tuned and compressed counterparts. The primary goal is to evaluate whether such methods can significantly reduce memory and computational demands while maintaining acceptable accuracy, enabling deployment on edge devices and in low-resource clinical environments. Experimental results show that SLMs enhanced with QLoRA retain competitive accuracy while reducing GPU usage by up to 80%, and that combining KD and Pruning further improves inference speed and hardware efficiency making these models viable for real world radiological decision support at the edge computing devices.",https://www.semanticscholar.org/paper/1a38a81c59acc9d2d8e8bebf53ee8d953dbdf079
3f5e88db0c0f3d5f68d0fa6af0f725355adef8b5,"Deep Multimodal Fusion for Breast Cancer Classification: Taxonomy, Datasets and Open Challenges",Poonam Rangnath Dholi; Varsha H. Patil,2025,,EPJ Web of Conferences,10.1051/epjconf/202534101027,,"Breast cancer remains one of the leading causes of mortality among women worldwide, necessitating early and accurate detection for improved patient outcomes. Deep learning has significantly advanced breast cancer classification; however, unimodal approaches relying on a single source of information, such as imaging or genomics, often fail to capture the complex heterogeneity of the disease. Multimodal fusion offers a promising solution by integrating diverse data sources, including histopathology, radiology, genomics, and clinical records, to enhance predictive performance and reliability. This paper presents a comprehensive taxonomy of deep multimodal fusion approaches for breast cancer classification, categorizing fusion at feature, representation, and decision levels while highlighting state-of-the-art DL strategies such as convolutional neural networks (CNNs), transformers, and hybrid models. Additionally, we review key datasets spanning imaging, omics, and electronic health records, discussing their strengths, limitations, and integration challenges. Open issues such as data scarcity, standardization, interpretability, and privacy are critically examined, alongside emerging directions in explainable AI, federated learning, and edge computing. By consolidating methodologies, datasets, and research gaps, this study provides an organized framework to advance multimodal fusion techniques toward clinically viable breast cancer diagnostic systems.",https://www.semanticscholar.org/paper/3f5e88db0c0f3d5f68d0fa6af0f725355adef8b5
6eac04c9e870c2f73d8635c39da807864c0f03ca,Automated Morphometric Profiling of Brain Ventricles: Bridging Radiologic Imaging and Artificial Intelligence,Aniket S. Thul; Kirti B Chaudhary; S. Rawlani; Anupama Sawal; V. Anjankar; N. Ragit,2026,2026-05-01,2026 IEEE 1st International Conference on Intelligent Technologies for a Sustainable and Inclusive Future (ICITSIF),10.1109/ICITSIF69060.2026.11609067,,"Artificial Intelligence (AI) is revolutionizing the field of brain ventricle morphometry with the ability to quantitatively and high-resolution analyze ventricle morphology at a faster and reproducible scale. The existing process using human expertise and semi-automated analysis is prone to human error, high interventional effort and a lack of scalability, while deep learning architectures such as CNNs, UNet and the combination of CNNs and UNet offer high accuracy and better integration of image and Clinical information compared to human expertise and semi-automated analysis. AI-assisted tools and techniques have proved their utility in the early diagnosis and continuous monitoring of hydrocephalus, Alzheimer’s disease, Parkinson’s disease, multiple sclerosis and schizophrenia and neurosurgery and its follow-up. These tools and techniques can compute volumetric information, asymmetry ratios and a risk score for a particular disease, further providing possibilities for precision medicine. Still, issues such as heterogeneity in scanner types, the lack of computational models for specific partial volume effects, the scarcity of human-annotated examples and performance inefficiencies in complex scenarios persist. Emerging trends include multimodal learning, federated learning, explainability in AI, edge computing, quantum computing, digital twin model and use of AI in neurosurgical tools with augmented reality assistance.",https://www.semanticscholar.org/paper/6eac04c9e870c2f73d8635c39da807864c0f03ca
78df3b70aba022fa843eadb501952e0975e3defd,Multimodal Endoscopic Management of Fistula after Sleeve Gastrectomy Involving a Novel Esophageal Stent,C. Fortunato; Carlos Noronha Ferreira; Miguel Moura; Amélia Almeida; R. Tato Marinho; L. Correia,2024,2024-10-17,GE: Portuguese Journal of Gastroenterology,10.1159/000541556,,"Abstract Introduction: Laparoscopic sleeve gastrectomy (LSG) is a bariatric surgical procedure associated with a non-negligible risk of postoperative adverse events, especially fistulas, the majority of which occur at the angle of His. This adverse event requires a multidisciplinary approach involving intensive care, surgery, interventional endoscopy, and radiology. Despite the absence of an algorithmic endoscopic approach, a primarily endoscopic management of fistulas after LSG is now standard of care in most institutions. Case Report: A 66-year-old female with grade III obesity, obstructive sleep apnea, type 2 diabetes, and hypertension underwent LSG. She developed abdominal pain, hypovolemic shock, and severe anemia (Hb 6.5 g/dL). A computed tomography (CT) scan revealed hemoperitoneum without active bleeding, managed with transfusion of packed blood cells. A week later, a new CT scan performed for leukocytosis and abdominal pain revealed pneumoperitoneum. An esophagogastroduodenoscopy revealed a 20-mm fistula orifice at the angle of His. A novel esophageal covered metallic stent was placed for a period of 5 weeks. The fistula orifice decreased to 4 mm and communicated through a fistulous tract with a residual subphrenic abscess measuring 62 × 20 mm. Pus was collected from the abscess and drained internally with a 10-Fr double pigtail plastic stent through the fistula orifice. Following an initial period of improvement, clinical deterioration required percutaneous subphrenic abscess drainage. Two weeks later, the double pigtail plastic stent was removed, the fistula orifice was ablated with argon plasma 40W/1L and closed with an over-the-scope clip of 10 mm. Patient improved and was discharged 4 months after the LSG. Conclusion: The Luso-Cor esophageal stent is a specifically designed covered metallic stent with a 5-mm uncovered ring near the proximal edge, which reduces the risk of migration. Two articulating zones in the middle portion allow better adaptation to altered anatomy after LSG and a distal flare reduces retrograde reflux of fluid. This stent overcomes strictures in the gastric tube, concomitantly present in nearly 50% of patients with fistulas after LSG. The novel Luso-Cor esophageal stent provided a bridge to clinical stability with a significant reduction in the size of the fistula orifice which was closed with complementary therapeutic endoscopic procedures.",https://www.semanticscholar.org/paper/78df3b70aba022fa843eadb501952e0975e3defd
9562f4fb9d840897c71e7bace79bcdf6cb4a5d56,EDGE ARTIFICIAL INTELLIGENCE IN ONCOLOGY: REAL-TIME CANCER DIAGNOSTICS AND INTELLIGENT CLINICAL MONITORING,Dr. Pavan Shetty,2023,2023-12-20,International journal of advance research and innovation,10.65713/ijaraiv13i1205,,"Edge artificial intelligence (Edge AI) is emerging as a transformative technology in precision oncology by enabling real-time processing of biomedical data directly at or near the point of care, thereby reducing latency, enhancing data privacy, and supporting intelligent clinical monitoring throughout the cancer care continuum. Unlike conventional cloud-dependent artificial intelligence systems, Edge AI integrates computational intelligence within medical imaging devices, digital pathology platforms, wearable biosensors, mobile health technologies, and Internet of Medical Things (IoMT) infrastructure to provide immediate clinical insights without requiring continuous remote computation. Recent advances in foundation AI models, multimodal transformer architectures, graph neural networks, self-supervised learning, reinforcement learning, and generative artificial intelligence have enabled comprehensive integration of radiological imaging, digital pathology, genomics, transcriptomics, proteomics, metabolomics, epigenomics, spatial biology, laboratory biomarkers, circulating tumor DNA, wearable physiological monitoring, electronic health records, and longitudinal clinical outcomes into intelligent edge computing ecosystems. These systems support early cancer detection, biomarker discovery, molecular characterization, prognostic prediction, therapeutic optimization, immunotherapy selection, adaptive disease monitoring, digital twin simulation, and evidence-based clinical decision support. Emerging technologies including multimodal large language models, federated learning, explainable artificial intelligence, agentic AI, cloud-edge hybrid architectures, and 6G-enabled healthcare networks further strengthen Edge AI by enabling collaborative, privacy-preserving, transparent, and continuously adaptive biomedical intelligence. Despite remarkable technological progress, important scientific, technical, ethical, and regulatory challenges remain regarding computational resource constraints, multimodal data harmonization, interoperability, cybersecurity, clinical validation, and equitable implementation. This review provides a comprehensive overview of Edge AI in oncology, emphasizing real-time cancer diagnostics and intelligent clinical monitoring as transformative technologies for next-generation precision cancer care.",https://www.semanticscholar.org/paper/9562f4fb9d840897c71e7bace79bcdf6cb4a5d56
9d1721bfd41fd24c8b0cf688a7d9dc78d9447b3f,An overview of segmentation techniques for CT and MRI images: Clinical implications and future directions in medical diagnostics,Stefano Palazzo; Giovanni Zambetta; R. Calbi,2024,2024-11-28,Medical Imaging Process &amp; Technology,10.24294/mipt7227,,"Advancements in Medical Image Segmentation have revolutionized clinical diagnostics and treatment planning. This review explores a wide range of segmentation techniques applied to Computed Tomography (CT) and Magnetic Resonance Imaging (MRI) images, emphasizing their clinical implications and future directions. CT segmentation techniques, including U-Net and its variant nnU-Net, are essential in oncology for precise tumor delineation, in cardiology for coronary artery analysis, and in pulmonology for lung lesion detection. These methods enhance radiotherapy targeting, surgical planning, and overall diagnostic accuracy. The nnU-Net, known for its self-configuring nature, is particularly notable for setting new benchmarks in medical image segmentation tasks. MRI segmentation benefits from superior soft tissue contrast. Techniques like Mask Region-based Convolutional Neural Network (R-CNN) excel in identifying brain lesions, assessing musculoskeletal injuries, and monitoring soft tissue tumors. These methods support detailed visualization of internal structures, improving diagnosis and guiding targeted interventions. U-Net architectures also play a critical role in MRI segmentation, demonstrating high efficacy in various applications such as brain and prostate imaging. A systematic review of the literature reveals performance metrics for various segmentation techniques, such as accuracy, sensitivity, specificity, and processing time. Traditional methods like thresholding and edge detection are contrasted with advanced deep learning and machine learning approaches, highlighting the strengths and limitations of each. The review also addresses methodological approaches, including data collection, analysis, and evaluation metrics. Future prospects include integrating 3D and 4D segmentation, multimodal data fusion, and enhancing AI explain ability. These innovations aim to refine diagnostic processes, personalize treatments, and improve patient outcomes. Clinical applications of these segmentation techniques demonstrate significant advantages in radiology, oncology, and cardiology, though challenges such as data variability and noise persist. Emerging strategies like data augmentation and transfer learning offer potential solutions to these issues. The continuous evolution of medical image segmentation techniques promises to enhance diagnostic accuracy, efficiency, and the personalization of patient care, ultimately leading to better healthcare outcomes.",https://www.semanticscholar.org/paper/9d1721bfd41fd24c8b0cf688a7d9dc78d9447b3f
bfa31feed4cd2c5005f5a6125ef01cf401a70354,Synergistic MedSpectral-DCA: A Unified Framework for Low-Resource Pulmonary Diagnostics and Clinical Reasoning,Shinty P K; Manju Sadasivan; Aurangjeb Khan; S. R; Rishikesh Kumar; Sheela Sheetal Dash,2026,2026-06-25,2026 Third International Conference on Innovations in Cybersecurity and Data Science (ICICDS),10.1109/ICICDS70526.2026.11604777,,"Accurately identifying and classifying pulmonary pathologies from Computed Tomography (CT) scans remains a persistent challenge, particularly in decentralized clinics lacking specialized radiological infrastructure. Conventional deep learning approaches demand substantial computational power, operate as opaque black boxes and frequently fail to satisfy rigorous clinical safety protocols. To overcome these critical barriers, the MedSpectral-DCA framework is introduced a highly optimized, multimodal diagnostic ecosystem engineered for edge deployment and strict adherence to the IEEE 2802-2022 safety standard. The system is driven by MedSpectralNet, a novel dual-stream convolutional architecture that intelligently fuses high-frequency localized textures with low-frequency global anatomical data via a learnable ContextGate mechanism. To ensure transparent clinical accountability, the framework employs gradient-free ReciproCAM visualizations to precisely map diagnostic focus. Furthermore, a 4-bit quantized Large Language Model (LLM) synthesizes these visual insights to automatically draft comprehensive, human-readable clinical reports. Recognizing the severe data imbalance inherent in medical imaging, traditional accuracy is bypassed in favor of the Matthews Correlation Coefficient (MCC) for objective evaluation, while Decision Curve Analysis (DCA) is utilized to measure tangible patient benefit. Validated through rigorous multi-center external testing and comprehensive ablation studies, MedSpectral-DCA achieves an MCC of 0.918 and 18 ms inference time significantly outperforming heavier architectures including ResNet50, ViT-B and MedMamba. The framework thus demonstrates that transparent, standard-compliant AI diagnostics can be executed flawlessly on standard consumer hardware, offering a highly scalable blueprint for equitable healthcare technology.",https://www.semanticscholar.org/paper/bfa31feed4cd2c5005f5a6125ef01cf401a70354
c58e56bf4b9e5e2e7ee8074bb96ccf3eee9df462,"Large-Scale Foundation Models for Radiological Image Analysis: Clinical Applications, Technical Challenges, and Future Directions.",Yashbir Singh; Orhan Unal; F. Ali; Sara Salehi; Shiba Kuanar; Abdussalam Elhanashi; Quincy A. Hathaway; Ashok Chaudhary; Yuankai Huo; Khaled Younis; Quincy Gu; Varekan Keishing; Yujia Wei; Lili Zhang; Bradley J. Erickson,2026,2026-01-13,Journal of imaging informatics in medicine,10.1007/s10278-025-01823-w,,,https://www.semanticscholar.org/paper/c58e56bf4b9e5e2e7ee8074bb96ccf3eee9df462
e880ce6cec59304de20800bba88bd4383a3e0665,Multimodal Intelligence in Oncology: A Systematic Review of Deep Learning and Attention-Based Fusion Strategies for Breast Cancer,Aliza Rana; Javed Ahmad; Shelia Sharma,2025,2025-11-07,2025 International Conference on Future Technologies (ICFT),10.1109/ICFT66708.2025.11336318,,"Among various malignancies, breast cancer stands out because of its complexity, and accurate subtyping is crucial to improve outcomes and tailor therapeutic strategies. While traditional diagnostic methods continue to playa central role in clinical practice, they often fail to capture the full spectrum of biological and structural heterogeneity inherent to this disease. Titled “Deep Learning and Attention-Based Fusion Strategies for Breast Cancer,“ this review surveys recent developments in deep learning, with an emphasis on how attention mechanisms, along with multimodal fusion techniques, may provide remedies for these limitations. This paper reviewed 40 studies on various attention mechanisms and fusion strategies that have integrated histopathology, radiology, genomics, and clinical information. The findings from this review underscore both the intrinsic potential and existing barriers to clinical translation. Notable challenges include dataset imbalances, the lack of external validation, and model decision-making processes that are not transparent. In light of these issues, there is growing interest in contemporary research in explainable artificial intelligence (XAI), self-supervised learning frameworks, and streamlined architectures. There is, in addition, cloud, fog, or edge computing in practice to operationalize real-world applicability. The development of multimodal deep learning methods based on the concept of an attention mechanism represents a significant advancement toward developing interpretable, reliable, and clinically valid breast cancer subtype classifications. Overall, this study forms a foundation for developing customized diagnostic platforms, providing more patient-centred approaches, and enabling future research in personalized patient care plan areas.",https://www.semanticscholar.org/paper/e880ce6cec59304de20800bba88bd4383a3e0665
f24242e460c7cabe0aa5d12ac36f80dd169e31a7,Medintel: An Edge Enabled Multimodal Radiology AI for Priority Driven Clinical Decision Support,P. P; P. M; A. R; K. M; S. N.,2026,2026-06-17,2026 International Conference on Emerging Trends in Mobile Computing and Sustainable Informatics (ICEMCSI),10.1109/ICEMCSI67638.2026.11603051,,"Medical imaging produces large volumes of diagnostic data, especially in hospitals handling continuous X ray, CT, and MRI examinations. In many cases, scan interpretation depends heavily on radiologists, which can increase reporting delay during high patient load. This work presents MedIntel, an edge-assisted radiology support model developed for anomaly screening, case prioritization, and clinical recommendation generation. The approach combines multimodal scan handling with local AI-assisted processing to reduce dependency on centralized cloud infrastructure. Uploaded scans undergo preprocessing, modality verification, and anomaly mapping before severity estimation and priority assignment. Cases identified with higher clinical risk are flagged separately for rapid review. The model also generates recommendation outputs based on detected abnormalities and affected anatomical regions. Edge deployment using lightweight computing devices enables local execution with lower latency and reduced transfer of sensitive patient data. The study further integrates workflow-oriented functions such as patient record storage, report generation, and follow-up tracking. Experimental observations obtained from controlled multimodal scan inputs showed stable anomaly mapping, reliable prioritization behaviour, and consistent response generation during repeated evaluations. Local execution maintained low processing delay while supporting continuous operation in constrained environments. The proposed approach combines radiology analysis, edge computing, and decisionsupport functions within a single clinical assistance pipeline. Such integration can support faster preliminary assessment in hospitals, diagnostic centres, and remote healthcare units where specialist availability is limited.",https://www.semanticscholar.org/paper/f24242e460c7cabe0aa5d12ac36f80dd169e31a7
