PaperId,Titulo,Autores,Ano,Data_Publicacao,Veiculo,DOI,ArXiv_ID,Resumo,URL
0a93d413445033ee22d12e997c362e94831cda3f,Lightweight Pneumonia Detection Using Classical Descriptors on Edge AI Devices,Syed M. Azeem Ul Hassan; Ali Hassan; Maria Hanif; M. Wajeeh; Rizwan Ahmad,2026,2026-05-17,International Journal of Innovative Science & Technology,10.33411/ijist/1817,,"Pneumonia remains a pressing global health issue, and timely chest X-ray interpretation is central to effective patient care. This paper describes a lightweight pipeline for detecting pneumonia in chest radiographs using classical machine learning classifiers paired with handcrafted image features, aimed at hardware with tight processing budgets. Three widely used descriptors — HOG, SIFT, and ORB — were applied to the publicly available Kaggle chest X-ray dataset containing 5,863 labeled pediatric radiographs (4,273 Pneumonia, 1,590 Normal), pre-split into training (5,216), validation (16), and test (624) partitions. Four classifiers — Naive Bayes, SVM, Random Forest, and Logistic Regression — were trained with class-weight balancing to account for the roughly 2.7:1 class imbalance. Training and initial evaluation were carried out in Google Colab GPU-accelerated environment on a fixed held-out test set (approximately 89:11 train-to-test ratio), with 5-fold cross-validation on training data used to assess generalization. The strongest pipeline was subsequently ported to an NVIDIA Jetson Orin Nano Super for edge inference profiling. Random Forest with HOG features achieved the highest accuracy at 93.52% and an F1 score of 95.60%, while Logistic Regression with ORB features achieved the fastest inference speed at 0.187 ms per image (5,342.79 FPS). McNemar's test confirmed statistically significant gaps between the best and worst configurations (p < 0.01). Overall, the findings indicate that handcrafted features and traditional classifiers can produce clinically relevant performance within the power and memory envelopes of affordable edge hardware — a promising direction for pneumonia screening where specialist radiology support is scarce.",https://www.semanticscholar.org/paper/0a93d413445033ee22d12e997c362e94831cda3f
28095a00ce25993e1d3692c96334fffe2e62446c,Characterizing the Performance of Accelerated Jetson Edge Devices for Training Deep Learning Models,Prashanthi S.K.; Sai Anuroop Kesanapalli; Yogesh L. Simmhan,2023,2023-06-19,Measurement and Modeling of Computer Systems,10.1145/3578338.3593530,,"Deep Neural Network (DNN) models are becoming ubiquitous in a variety of contemporary domains such as Autonomous Vehicles, Smart cities and Healthcare. They help drones to navigate, identify suspicious activities from safety cameras, and perform diagnostics over medical imaging. Fast DNN inferencing close to the data source is enabled by a growing class of accelerated edge devices such as NVIDIA Jetson and Google Coral which host low-power Graphics Processing Units (GPUs) and Tensor Processing Units (TPUs) along with ARM CPUs in a compact form-factor to offer a superior performance-to-energy ratio. E.g., the NVIDIA Jetson AGX Xavier kit has a 512-core Volta GPU, an 8-core ARM CPU and 32GB LPDDR4x memory, that operates within 65W of power, costs US999 and is smaller than a paperback novel. Recently, there has been a push towards training DNN models on the edge [2]. This is driven by the massive growth in data collected from edge devices in Cyber-Physical Systems (CPS) and Internet of Things (IoT), the need to refresh the models periodically, the bandwidth constraints in moving all this data to Cloud data centers for training, and a heightened emphasis on privacy by retaining data on the edge. This has led to techniques like federated and geo-distributed learning that train DNN models locally on data on an edge device and aggregate them centrally. In this abstract, we summarise and highlight key results from our full paper [5].",https://www.semanticscholar.org/paper/28095a00ce25993e1d3692c96334fffe2e62446c
5066362323733e3cebbe78b61ffed5db6bd370ec,A Modular Edge Device Network for Surgery Digitalization,Vincent Schorp; Frédéric H. Giraud; Gianluca Pargätzi; Michael Wäspe; Lorenzo von Ritter-Zahony; M. Wegmann; J. G. Henao; Nicholas Bünger; Dominique Cachin; Sebastiano Caprara; P. Fürnstahl; F. Carrillo,2025,2025-03-18,HSMR 2025,10.48550/arXiv.2503.14049,2503.14049,"Future surgical care demands real-time, integrated data to drive informed decision-making and improve patient outcomes. The pressing need for seamless and efficient data capture in the OR motivates our development of a modular solution that bridges the gap between emerging machine learning techniques and interventional medicine. We introduce a network of edge devices, called Data Hubs (DHs), that interconnect diverse medical sensors, imaging systems, and robotic tools via optical fiber and a centralized network switch. Built on the NVIDIA Jetson Orin NX, each DH supports multiple interfaces (HDMI, USB-C, Ethernet) and encapsulates device-specific drivers within Docker containers using the Isaac ROS framework and ROS2. A centralized user interface enables straightforward configuration and real-time monitoring, while an Nvidia DGX computer provides state-of-the-art data processing and storage. We validate our approach through an ultrasound-based 3D anatomical reconstruction experiment that combines medical imaging, pose tracking, and RGB-D data acquisition.",https://www.semanticscholar.org/paper/5066362323733e3cebbe78b61ffed5db6bd370ec
5137395d3e114ef8bce1ac2504ae6d78a2a1f31a,MedMambaLite-v2: Shared Selective Scan for Efficient Edge Medical Mamba,Romina Aalishah; Mozhgan Navardi; Nithin Kidangazhiath Mana; T. Mohsenin,2026,2026-05-20,IEEE Transactions on Biomedical Circuits and Systems,10.1109/TBCAS.2026.3695051,,"AI-powered medical imaging devices are increasingly used in clinical workflows to support real-time, accurate diagnosis and decision-making. Recent advances in State-Space Models (SSMs) such as Mamba have shown remarkable performance in capturing long-range dependencies for medical image classification. However, their computational complexity and sequential data flow make them difficult to deploy on hardware, limiting real-time and energy-efficient applications at the edge. To address this challenge, we propose MedMambaLite-v2, a shared selective scan framework enabling effective acceleration on embedded edge platforms. For this aim, we build upon our earlier MedMambaLite, and further extend it in MedMambaLite-v2 through a channel-only transition mechanism that achieves a 1.7<inline-formula><tex-math notation=""LaTeX"">$\boldsymbol{\times}$</tex-math></inline-formula> reduction in operations. We then optimize the Convolution (Conv) branch, and apply knowledge distillation to retain accuracy in a compressed student model. The resulting model is 23<inline-formula><tex-math notation=""LaTeX"">$\boldsymbol{\times}$</tex-math></inline-formula> smaller compared to the MedMamba baseline, with only 1.1% reduction in the overall accuracy evaluated across 10 distinct MedMNIST datasets spanning several imaging modalities. The proposed LiteSS2D hardware design also leverages parallelism across scan directions to enable simultaneous state updates, thereby improving memory efficiency, and further incorporates 8-bit quantization to reduce computational overhead. The reconfigurable FPGA hardware prototype demonstrates 9<inline-formula><tex-math notation=""LaTeX"">$\boldsymbol{\times}$</tex-math></inline-formula> reduction in latency for a parallel implementation compared with a serial baseline. Moreover, MedMambaLite-v2 is implemented and demonstrated through end-to-end inference on MedMNIST images on CPU and GPU platforms. Performance analysis of the proposed approach on NVIDIA Jetson Orin Nano and Raspberry Pi 5 shows up to 63% and 78% reductions in energy per inference, respectively, compared to the baseline.",https://www.semanticscholar.org/paper/5137395d3e114ef8bce1ac2504ae6d78a2a1f31a
62aae12bea119d950504bbc0f6716ccc47d5ac70,A novel hybrid medical image encryption scheme based on memristive chaos and DNA-ARX-3DES with Real-Time implementation,Enes Eren Suzgen; M. E. Şahin; Hasan Ulutas,2026,2026-01-26,Scientific Reports,10.1038/s41598-026-36824-4,,"Ensuring the confidentiality of medical images during storage and transmission is a critical challenge in modern healthcare. This study proposes a novel hybrid image encryption framework that integrates a memristor-based chaotic system, DNA-inspired operations, Add-Rotate-Xor (ARX), and Triple Data Encryption Standard (3DES). A four-dimensional two-memristor chaotic circuit is analysed through phase portraits, Lyapunov exponents, and bifurcation diagrams to establish its suitability as a strong entropy source. Chaotic sequences generated from the system are digitized using a mod2 post-processing scheme and validated by NIST SP 800 − 22, FIPS 140-1, and Chi-square statistical tests, confirming high-quality randomness. The encryption framework combines chaotic diffusion and confusion, symbolic DNA crossover operations, ARX, and a 3DES whitening stage to provide multilayered security. Experimental validation on four medical image datasets—Bone Fracture, Breast, Retina, and Teeth—demonstrates that the scheme achieves near-ideal entropy values (~ 7.99), high NPCR (~99.6%), and UACI (~ 33%), while producing cipher images with noise-like characteristics and negligible structural similarity to the originals. Real-time implementation on the NVIDIA Jetson Nano and PYNQ-Z1 platform verifies the feasibility of the method for embedded medical applications. Comparative analysis indicates that the hybrid approach outperforms conventional chaotic or DNA-only schemes by leveraging the complementary strengths of chaos, bio-inspired computing, and classical cryptography. These findings confirm that the proposed framework offers a secure, efficient, and practical solution for protecting sensitive medical images against statistical, differential, and brute-force attacks.",https://www.semanticscholar.org/paper/62aae12bea119d950504bbc0f6716ccc47d5ac70
67a9e0a05893b183f46e1161a0f4f34cffd94d09,MedBiSeNet: Efficient Bilateral Segmentation Network for Real-time Medical Image Processing,Jiwon Kim; Kyungkeon Chung; Ghangmin Yun; Jaekyung Lee; Jueun Jung; Bokyoung Seo; Hyejin Lee; K. Lee,2025,2025-05-25,International Symposium on Circuits and Systems,10.1109/ISCAS56072.2025.11043841,,,https://www.semanticscholar.org/paper/67a9e0a05893b183f46e1161a0f4f34cffd94d09
857a58f39c4fcef9e42b5738497593e0c477f410,Efficacy of Edge Inference for Healthcare: Transfer Learning-Based Medical Analysis Using ResNet-18,B. Shabarinath; P. Muralidhar; Elegety Sri Varsha; Machanpally Karthik Kumar; P. Rohith,2025,2025-09-01,2025 International Conference on Computing and Communications (COMPUTINGCON),10.1109/COMPUTINGCON64838.2025.11376625,,"Detection of pulmonary disease continues to be a significant challenge in healthcare, where early and accurate diagnosis has the potential to improve patient outcomes significantly. Conventional approaches based on manual interpretation and standard imaging methods tend to be time-consuming and prone to human error. To overcome these limitations, the work presented leverages the computational power of the NVIDIA Jetson Nano edge device by combining transfer learning with the ResNet-18 model for the detection of life-threatening lung conditions like pneumonia, tuberculosis, and lung cancer. Through fine-tuning the model on appropriate medical imaging datasets, the system streamlines and speeds up the diagnostic process while improving accuracy. The proposed model achieves a classification accuracy of 98.53%, surpassing both native ResNet-18 and VGG architectures in terms of both efficiency and accuracy. Edge deployment further enhances the system's capabilities, delivering an inference latency of approximately 223 milliseconds per image and achieving a throughput of up to 4.5 images per second. The system operates with low power consumption, ensuring its suitability for low-resource healthcare settings, such as remote clinics or mobile health units. Overall, this work demonstrates the potential of deep learning-based solutions in delivering faster, more reliable, and accessible diagnostic tools, contributing to improved clinical outcomes and patient care in resource-constrained environments.",https://www.semanticscholar.org/paper/857a58f39c4fcef9e42b5738497593e0c477f410
8c6d82302d0dbdf72eeb6ea57ad2a3a8ec1973c9,Secure Chaotic Encryption of Medical Images via Logistic Maps and SHA3-Based Key Generation on Embedded Devices,Argyrios Sideris; Theodora Sanida; M. Sanida; Michael F. Dossis; M. Dasygenis,2025,2025-09-19,"SouthEast European Design Automation, Computer Engineering, Computer Networks and Social Media Conference",10.1109/SEEDA-CECNSM68644.2025.11329733,,"In this paper, we propose a lightweight yet highly secure image encryption scheme tailored for medical imaging applications on embedded devices. The method leverages the properties of chaotic logistic maps and cryptographic key derivation via the SHA3-256 hash function. A user-defined passphrase is transformed into a 512-bit entropy source, from which the initial conditions and control parameters of the chaotic system, as well as the scrambling seed, are deterministically derived. The encryption process consists of block-wise pixel permutation combined with a chaotic key stream for XOR-based diffusion. The scheme is fully reversible, supports grayscale medical images, and exhibits excellent statistical and cryptographic properties. Extensive experiments demonstrate high key sensitivity, entropy values approaching 8.0, pixel correlation coefficients near zero, and strong diffusion characteristics, with NPCR values exceeding 99.61% and UACI approaching 32.26%. The implementation is optimized for embedded platforms such as NVIDIA Jetson, achieving real-time performance with minimal memory overhead. The proposed system is well-suited for secure telemedicine applications, remote diagnostics, and data protection in Internet of Medical Things (IoMT) environments. It provides a practical and scalable solution for privacy-preserving medical image transmission and storage under constrained computational resources.",https://www.semanticscholar.org/paper/8c6d82302d0dbdf72eeb6ea57ad2a3a8ec1973c9
ab8699e3d706300e2f495180c13e981cbf013989,COMPARATIVE ANALYSIS OF REAL-TIME SEMANTIC SEGMENTATION ALGORITHMS,M. Durkot; N. Melnyk,2024,2024-12-26,Computer Systems and Information Technologies,10.31891/csit-2024-4-11,,"Semantic segmentation is a fundamental task in computer vision that enables machines to interpret and understand images at the pixel level, providing a deeper understanding of scene composition. By assigning a class to each pixel, this technique is critical for applications requiring detailed visual comprehension, such as autonomous driving, robotics, medical imaging, and augmented reality. This article presents a comprehensive comparative analysis of deep learning models specifically designed for real-time semantic segmentation, focusing on their performance metrics, architectures, and various application contexts. This study compares advanced deep learning models, including PIDNet, PP-LiteSeg, BiSeNet, SFNet, and others, using key metrics such as Mean Intersection over Union (mIoU) and Frames Per Second (FPS), alongside the hardware specifications on which they were tested. Models like PIDNet, known for its multi-branch architecture, emphasize detailed, context, and boundary information to improve segmentation precision without sacrificing speed. On the other hand models like PP-LiteSeg, with its Short-Term Dense Concatenate Network (STDCNet) backbone, excels in reducing computational complexity while maintaining competitive accuracy and inference speed, making it well-suited for resource-constrained environments. The analysis evaluates the trade-offs between accuracy and computational efficiency using benchmark datasets such as Cityscapes and DeepScene. Additionally, we examine the adaptability of these models to diverse operational scenarios, particularly on edge devices like NVIDIA Jetson Nano, where computational resources are limited. This discussion extends to the challenges faced in real-time implementations, including maintaining robustness across varying environments and achieving high performance with minimal latency. Highlighting the strengths, limitations, and practical implications of these models, this analysis can serve as a valuable resource for researchers and practitioners aiming to advance the field of real-time semantic segmentation.",https://www.semanticscholar.org/paper/ab8699e3d706300e2f495180c13e981cbf013989
b00d16c8ec3f38a49d2ccfbee87d1b3720e7ed82,EDGE AI FRAMEWORK FOR BRAIN TUMOR CLASSIFICATION USING GOOGLENET FEATURES AND MACHINE LEARNING,Garima Pandey; Ravindara Bhatt,2025,2025-10-03,Lex Localis-journal of Local Self-government,10.52152/hm8dqe87,,"Brain tumor classification is a pivotal process in medical imaging. The precision and promptitude of a diagnosis will dictate treatment and affect patient prognosis. Here, I propose a two-phase framework for the automation of Brain Tumor Detection which integrates Feature Extraction and Classification using Machine Learning Algorithms. The aim is to extend the concept of Edge AI and run the system on embedded devices for real-time clinical applications. In the first phase of the project, I designed a feature extraction system using the GoogLeNet (InceptionV3) model and evaluated a range of classifiers: SVM, MLP, XGBoost, LightGBM, Random Forest, AdaBoost, K-NN, and Softmax on the CE-MRI dataset. Results showcase the system performance, as well as GoogLeNet+ SVM being the best performing model overall with precision, recall, F1-score, and ROC-AUC measures. As such, this model is the best predictor of the classifiers designed. Phase 2 involved deploying the optimized models on NVIDIA Jetson Orin Nano, the embodiment of edge-AI. Advanced quantization (FP16/INT8) and pruning helped to reduce complexity while sustaining accuracy. A simplified GUI was designed to show input MRI slices, the predicted tumor class (glioma, meningioma, or pituitary), confidence scores, and device metrics including latency, throughput, power consumption, and temperature. Live demonstrations proved the framework’s self-sufficiency, eliminating the need for remote (cloud) resources, allowing rapid, bedside feedback with increased privacy, and reduced latency. Even though many classifiers showed strong diagnostic accuracy in Phase 1, in Phase 2 only a few classifiers, specifically GoogLeNet + SVM and GoogLeNet + MLP, combined the accuracy with the low latency, high efficiency, and thermal stability necessary for edge deployment. The system’s practicality was further demonstrated by the GUI, which in real time, successfully classified even the pituitary tumor cases. To summarize, the two-part evaluation shows that GoogLeNet + SVM achieves the best compromise between diagnostic precision and edge efficiency, thereby making it the most realistic option for Edge AI healthcare applications in the real-world. Proposed future directions for this framework include integration of multimodal imaging and federated learning along with TensorRT model serving for deployment, to build a more complete and clinician-centered robust decision support system that AI will assist at the edge. This will include additional tumor types.",https://www.semanticscholar.org/paper/b00d16c8ec3f38a49d2ccfbee87d1b3720e7ed82
