PaperId,Titulo,Autores,Ano,Data_Publicacao,Veiculo,DOI,ArXiv_ID,Resumo,URL
008edc9af690a8b8e1ef71351a344c40512a15c9,A Novel CAD Framework with Visual and Textual Interpretability: Multimodal Insights for Predicting Respiratory Diseases,Raza Mukhlis; Saied Saleem; Hyunwook Kwon; Jamil Hussain; Ahmet Arif Aydin; M. A. Al-antari,2024,2024-09-21,2024 8th International Artificial Intelligence and Data Processing Symposium (IDAP),10.1109/IDAP64064.2024.10710824,,"Generating textual interpretability using recent advancements in large language models (LLMs) is crucial for enhancing the efficiency of comprehensive computer-aided diagnosis (CAD) systems. This improves transparency between medical staff, intelligent CAD systems, and end-users by creating a trustworthy and effective intermediate medical diagnosis environment. In this paper, an innovative explainable throughout CAD system is introduced, designed to predict diseases from Chest X-rays (CXR) in a comprehensive scenario. The primary goal is to undertake multiple tasks that reduce the burden on medical staff and enrich CAD outcomes, including classification, visual explanations (heatmaps), and textual report generation. The proposed CAD system is developed through eight key steps: Data Collection and Annotation, Data Preparation, Text Vectorizations (Indexing), Visual Encoder, RAG-Fusion, Structural Prompt, XAI LLmTextual Reasoning (LLM Model), and Final Output (LLM textual report, image classification, and heatmap localization). The AI-based CAD system is trained and evaluated using the public benchmark MIMIC-CXR dataset with 14 different classes. The classification performance achieved an overall accuracy of $70 \%$, precision of $70 \%$, and F1-score of $0.60 \%$, while for text report generation, the system obtained an average BERTScore precision of 0.83, RougeL 0.16, and a Meteor score of 0.28. These promising results suggest the potential for further improvement of the CAD system and its applicability to real-world medical tasks.",https://www.semanticscholar.org/paper/008edc9af690a8b8e1ef71351a344c40512a15c9
00e160a276a5c88a69769e4e35e13ee863750857,Analyzing Information Disparities across Modalities in Mortality Prediction,Chanhwi Kim; W. Yoon; H. Lee; J. Lee; M. Afshar; J. Kang; T. Miller,2025,2025-11-02,medRxiv,10.1101/2025.10.30.25339162,,"Recent advances in deep learning have enabled the integration of heterogeneous data modalities for clinical prediction, allowing models to exploit complex information embedded within electronic health records (EHRs). Among these modalities, chest radiographs (CXRs) provide a rich source of visual information that can enhance patient outcome prediction for patients in the intensive care unit (ICU). However, the comparative impact of different CXR representations-raw images versus radiology reports-on predictive performance has not been systematically investigated. Such comparisons are essential for identifying the most informative modality and understanding how it complements other data sources. This study compares the predictive utility of raw CXRs versus radiology reports for 30-day post-discharge mortality prediction in ICU patients. We employed a Vision-Language Model (VLM) with patient discharge notes. On a filtered subset of the MIMIC-IV dataset (n = 1,360), augmenting discharge notes with CXRs achieved the best performance (AUROC = 0.843), surpassing both the discharge-note-only (AUROC = 0.816) and radiology-report-augmented (AUROC = 0.804) models. The experiments demonstrated that combining raw CXRs with discharge notes consistently outperformed models augmented with radiology reports. A radiologist's review further revealed that reports often omitted clinically relevant findings visible in the images, highlighting that CXRs convey richer prognostic signals for mortality risk. These findings underscore the critical role of modality selection in clinical AI systems and suggest that textual summaries should be used as surrogates for multimodal data with caution, as they may fail to capture critical predictive information.",https://www.semanticscholar.org/paper/00e160a276a5c88a69769e4e35e13ee863750857
00f738cae2aa20ee3f4e1af530edba54560f5d1e,A Hybrid Deep Learning Approach for Improving Medical Image Captioning Using Convolutional Vision Transformer,W. Ramadan; B. Akay,2025,2025-08-07,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",10.1109/ACDSA65407.2025.11166431,,"The utilization of Deep Learning techniques, particularly computer vision (CV) and natural language processing, has led to significant advancements in the analysis of large-scale medical data, enhancing diagnosis, treatment planning, and management efficiency. In this context, medical image captioning (MIC) has emerged as a critical research area aimed at the automatic generation of clinically accurate reports from medical images. While convolutional neural networks (CNNs) and language transformers have been widely used in MIC models at the encoder and decoder sides respectively, the adoption of vision transformers (ViTs) for visual feature extraction remains limited. Moreover, existing MIC studies have largely overlooked hybrid architectures that introduce convolutions into the vision transformer architecture. This study proposes the integration of convolutional vision transformer (CvT) into MIC tasks, leveraging the local feature extraction strength of convolutions with the global context modeling capabilities of transformers. The objective is to evaluate the effectiveness of CvT in improving the quality and clinical relevance of generated medical reports through its multimodal compatibility and scalability. To the best of our knowledge, this represents one of the first attempts to explore convolution-transformer hybrid methods for medical image captioning. The proposed approach is evaluated on two public chest X-ray benchmark datasets, IU X-Ray and MIMICCXR, using natural language processing and clinical efficacy metrics (CE). The results demonstrate significantly improved CE results, with 7.9% and 8.3% increase in F1-score and Precision respectively on MIMIC-CXR, indicating better clinical feature representation from X-Ray images.",https://www.semanticscholar.org/paper/00f738cae2aa20ee3f4e1af530edba54560f5d1e
01c90b2024436103bd1abf2be10966cbcee39c3d,CXR-LLaVA: a multimodal large language model for interpreting chest X-ray images,Seowoo Lee; Jiwon Youn; Hyungjin Kim; Mansu Kim; S. Yoon,2025,2025-01-15,European Radiology,10.1007/s00330-024-11339-6,,"This study aimed to develop an open-source multimodal large language model (CXR-LLaVA) for interpreting chest X-ray images (CXRs), leveraging recent advances in large language models (LLMs) to potentially replicate the image interpretation skills of human radiologists. For training, we collected 592,580 publicly available CXRs, of which 374,881 had labels for certain radiographic abnormalities (Dataset 1) and 217,699 provided free-text radiology reports (Dataset 2). After pre-training a vision transformer with Dataset 1, we integrated it with an LLM influenced by the LLaVA network. Then, the model was fine-tuned, primarily using Dataset 2. The model’s diagnostic performance for major pathological findings was evaluated, along with the acceptability of radiologic reports by human radiologists, to gauge its potential for autonomous reporting. The model demonstrated impressive performance in test sets, achieving an average F1 score of 0.81 for six major pathological findings in the MIMIC internal test set and 0.56 for six major pathological findings in the external test set. The model’s F1 scores surpassed those of GPT-4-vision and Gemini-Pro-Vision in both test sets. In human radiologist evaluations of the external test set, the model achieved a 72.7% success rate in autonomous reporting, slightly below the 84.0% rate of ground truth reports. This study highlights the significant potential of multimodal LLMs for CXR interpretation, while also acknowledging the performance limitations. Despite these challenges, we believe that making our model open-source will catalyze further research, expanding its effectiveness and applicability in various clinical contexts. QuestionHow can a multimodal large language model be adapted to interpret chest X-rays and generate radiologic reports? FindingsThe developed CXR-LLaVA model effectively detects major pathological findings in chest X-rays and generates radiologic reports with a higher accuracy compared to general-purpose models. Clinical relevanceThis study demonstrates the potential of multimodal large language models to support radiologists by autonomously generating chest X-ray reports, potentially reducing diagnostic workloads and improving radiologist efficiency.",https://www.semanticscholar.org/paper/01c90b2024436103bd1abf2be10966cbcee39c3d
04a7ac9cc56a5a5468bd1311bab1d733095c05e5,Automated Radiology Report Generation Using Multimodal Foundation Models: A Systematic Review Of Clinical Accuracy And Safety,Assaf Owaidh Alharbi; Omar Salem Almehmadi; Ibrahim Dhaifallah Aloufi; Khalid M. Alharbi; Sultan Owaid Baraka Al-Sehly; Saleh Muneer Falah ALsaedi; Talal Hassan Khulaif Alsaedi; Taher Hassan Khulaif Alsaedi; Saleem Rashed Aljohani; A. Alharbi; Ammar Abdullah A L-Muzaini,2024,2024-01-25,The Review of Diabetic Studies,10.70082/vdzvtc32,,"Background: The global landscape of diagnostic radiology is currently navigating a precarious inflection point. As imaging volumes surge due to aging populations and expanded screening protocols, the workforce remains critically constrained. Recent global surveys indicate that over 53% of radiologists are experiencing burnout, with workforce shortages cited as a primary concern by nearly half of the profession. This systemic strain exacerbates the risk of diagnostic error—a phenomenon already estimated to affect approximately 40 million patients annually worldwide. Against this backdrop, the integration of Artificial Intelligence (AI), specifically Multimodal Foundation Models (MFMs), has emerged as a potential panacea. These models, capable of processing both visual and textual data, promise to automate the labor-intensive process of radiology report generation (RRG), thereby potentially alleviating clinician workload and standardizing diagnostic quality. However, the transition from experimental architectures to clinical deployment is fraught with challenges related to factual consistency, safety, and trust. 
Objective: This systematic review aims to provide an exhaustive, nuanced evaluation of the current state of automated radiology report generation using MFMs. 
Methods: A comprehensive systematic literature search was conducted across major medical and technical databases covering the period from 2020 to 2025. The review adhered to PRISMA guidelines where applicable. Inclusion criteria prioritized studies that evaluated MFMs on standard benchmarks (MIMIC-CXR, CheXpert) or through direct comparison with board-certified radiologists. 
Results: The review reveals a distinct dichotomy in MFM performance: while linguistic fluency has achieved near-human levels, factual reliability remains volatile. It was demonstrated that a Fact-Aware Multimodal Retrieval-Augmented Generation (FactMM-RAG) pipeline significantly outperforms standard foundation models. By grounding generation in retrieved, factually distinct report pairs mined via RadGraph, FactMM-RAG achieved a 6.5% improvement in F1CheXbert and a 2% improvement in F1RadGraph on the MIMIC-CXR dataset compared to state-of-the-art retrievers. Conversely, large-scale comparative studies indicate that generalist models like GPT-4V and Gemini Pro Vision still trail human radiologists in diagnostic accuracy (49% vs. 61% in complex cases), although they show promise as ""second readers"" in specific subspecialties like chest radiology. 
Safety analysis presents the most concerning findings. A multimodal evaluation reported a 74.4% overall hallucination rate across leading visual language models, with a predominance of ""fabricated imaging findings"" that are statistically plausible but visually absent. The review identifies a ""Plausibility Paradox"" where the most advanced models (e.g., Gemini 2.0) generate the most convincing, yet factually hallucinated, reports, posing a high risk of automation bias. However, specialized models like MAIRA-X have reduced critical error rates to 4.6%, approaching the human baseline of 3.0%. 
Conclusion: The era of autonomous radiology reporting has not yet arrived, but the era of AI-augmented reporting is imminent. Retrieval-augmented architectures represent a critical leap forward, offering a mechanism to constrain the stochastic nature of generative AI with verified clinical facts. While current hallucination rates preclude independent use, the potential for these systems to democratize access to high-quality diagnostics—particularly in underserved regions—is profound. Future implementation must prioritize ""human-in-the-loop"" workflows, robust uncertainty quantification, and the development of safety-critical metrics that penalize plausible fabrications.",https://www.semanticscholar.org/paper/04a7ac9cc56a5a5468bd1311bab1d733095c05e5
081b0ecfa5ecaf44f35a43fde9fe36672beae916,Abstract 4362776: Multimodal and Serial Electrocardiogram and Chest X-ray Age Have Prognostic Significance as Biomarkers for Cardiovascular Health,V. Sangha; Xiao Gu; R. Khera; D. Clifton,2025,2025-11-04,Circulation,10.1161/circ.152.suppl_3.4362776,,"
 Background:
 Estimating biological age from diagnostic tests such as electrocardiograms (ECGs) and chest X-rays (CXRs) via artificial intelligence (AI) is an emerging strategy for cardiovascular (CVD) risk stratification. We investigated whether AI-predicted age from ECG and CXR images can serve as multimodal and dynamic biomarkers of CVD risk.
 
 
 Methods:
 EfficientNet-B3 convolutional neural networks were trained to predict chronological age from 12-lead ECG and frontal CXR images using data from Yale and the CheXpert dataset, respectively. Models were validated externally using the MIMIC-IV cohort. The difference between predicted and actual age (delta-age) was assessed for its association with major adverse CVD events (MACE) and mortality in a cohort of patients with both ECGs and CXR using age- and sex-adjusted multivariable Cox models. Additional analyses evaluated the prognostic significance of
 rate of biological aging, defined as the slope from a linear regression of AI-predicted age versus time
 in patients with multiple recordings.
 
 
 Results:
 On internal validation, the AI-ECG and AI-CXR models achieved mean absolute errors of 7.5 and 5.4 years, respectively. In MIMIC-IV, analysis of 16,294 patients with both ECG and CXR confirmed that these biomarkers provided additive prognostic information. Patients with high delta-age ECGs (delta > 5.5 years, top quartile) had higher risk of mortality (HR: 1.17) and higher risk of MACE (HR: 1.32), while a high delta-age CXR (delta > 4.8 years, top quartile) also portended higher mortality (HR 1.53) and MACE risk (HR 1.36). Patients with high delta-ages in both modalities had the highest hazard in cumulative hazard plots. In longitudinal analyses, in a cohort of 49,702 with multiple ECGs, both accelerated (top quartile) and decelerated (bottom quartile) rates of AI-predicted aging had higher risk of mortality (HR 4.16 and 4.08 respectively) and MACE (HR 3.07 and 2.65 respectively) even after accounting for delta-age from the initial recording. A cohort of 14,748 patients with multiple CXRs saw similar patterns for accelerated and decelerated agers (HR 3.48 and 2.66 respectively for mortality, and HR 2.13 and 1.75 respectively for MACE).
 
 
 Conclusion:
 AI-derived age from ECG and CXR images are robust biomarkers of CVD risk. These biomarkers offer additive and dynamic prognostic value when used in combination or over time, supporting a shift toward personalized, multimodal, and temporally adaptive risk assessment.
",https://www.semanticscholar.org/paper/081b0ecfa5ecaf44f35a43fde9fe36672beae916
088402b24110a324246cd08fcb43e0dc31d531a0,Addressing Asynchronicity in Clinical Multimodal Fusion via Individualized Chest X-ray Generation,Wenfang Yao; Chen Liu; Kejing Yin; William K. Cheung; Jing Qin,2024,2024-10-23,Neural Information Processing Systems,10.48550/arXiv.2410.17918,2410.17918,"Integrating multi-modal clinical data, such as electronic health records (EHR) and chest X-ray images (CXR), is particularly beneficial for clinical prediction tasks. However, in a temporal setting, multi-modal data are often inherently asynchronous. EHR can be continuously collected but CXR is generally taken with a much longer interval due to its high cost and radiation dose. When clinical prediction is needed, the last available CXR image might have been outdated, leading to suboptimal predictions. To address this challenge, we propose DDL-CXR, a method that dynamically generates an up-to-date latent representation of the individualized CXR images. Our approach leverages latent diffusion models for patient-specific generation strategically conditioned on a previous CXR image and EHR time series, providing information regarding anatomical structures and disease progressions, respectively. In this way, the interaction across modalities could be better captured by the latent CXR generation process, ultimately improving the prediction performance. Experiments using MIMIC datasets show that the proposed model could effectively address asynchronicity in multimodal fusion and consistently outperform existing methods.",https://www.semanticscholar.org/paper/088402b24110a324246cd08fcb43e0dc31d531a0
0bd260b2f436e7f3594da1f9156a6d9686454c62,Learnable Retrieval Enhanced Visual-Text Alignment and Fusion for Radiology Report Generation,Qin Zhou; Guoyan Liang; Xindi Li; Jingyuan Chen; Zhe Wang; Chang Yao; Sai Wu,2025,2025-07-10,IEEE International Conference on Computer Vision,10.1109/ICCV51701.2025.02092,2507.07568,"Automated radiology report generation is essential for improving diagnostic efficiency and reducing the workload of medical professionals. However, existing methods face significant challenges, such as disease class imbalance and insufficient cross-modal fusion. To address these issues, we propose the learnable Retrieval Enhanced Visual-Text Alignment and Fusion (REVTAF) framework, which effectively tackles both class imbalance and visual-text fusion in report generation. REVTAF incorporates two core components: (1) a Learnable Retrieval Enhancer (LRE) that utilizes semantic hierarchies from hyperbolic space and intra-batch context through a ranking-based metric. LRE adaptively retrieves the most relevant reference reports, enhancing image representations, particularly for underrepresented (tail) class inputs; and (2) a fine-grained visual-text alignment and fusion strategy that ensures consistency across multi-source cross-attention maps for precise alignment. This component further employs an optimal transport-based cross-attention mechanism to dynamically integrate task-relevant textual knowledge for improved report generation. By combining adaptive retrieval with multi-source alignment and fusion, REVTAF achieves finegrained visual-text integration under weak image-report level supervision while effectively mitigating data imbalance issues. The experiments demonstrate that REVTAF outperforms state-of-the-art methods, achieving an average improvement of 7.4% on the MIMIC-CXR dataset and 2.9% on the IU X-Ray dataset. Comparisons with mainstream multimodal LLMs (e.g., GPT-series models), further highlight its superiority in radiology report generation11https://github.com/banbooliang/REVTAF-RRG.",https://www.semanticscholar.org/paper/0bd260b2f436e7f3594da1f9156a6d9686454c62
0be4426a3904d620677a82b6cee69126df98fece,Timestep-conditioned Attention and Multi-dimensional Evidence framework for efficient multimodal chest X-ray anomaly detection.,Xueyu Kang; Qiulan Liu; Hailing Feng; Qi Zhang; Dongxia Lv; Jun Wang,2026,2026-07-08,Scientific Reports,10.1038/s41598-026-59767-2,,"Unsupervised anomaly detection (UAD) is attractive for chest X-ray analysis because it can identify pathological deviations without requiring exhaustive abnormal annotations. Recent EHR-conditioned diffusion-based methods have shown strong performance by incorporating clinical information into the denoising process. However, two important limitations remain. First, existing methods usually depend on relatively heavy model configurations and prolonged training schedules, resulting in substantial computational cost and limiting practical deployment in resource-constrained medical environments. Second, they typically derive anomaly scores only from the final reconstruction error, discarding rich diagnostic evidence contained in intermediate denoising steps, dual-head consistency, and complementary residual patterns. To address these limitations, we propose Timestep-conditioned Attention for Multi-dimensional Evidence (TAME), a unified framework with two complementary components. The first component, Timestep-Conditioned Channel Attention (TCCA), is a lightweight architectural module that dynamically reallocates channel importance according to the current diffusion timestep and demographic/EHR conditions, enabling efficient training of a compact 96-channel model. The second component, Multi-Dimensional Anomaly Evidence Fusion (MDAEF), is an inference-time scoring framework that aggregates anomaly evidence across five complementary dimensions: multiple timesteps, multiple scoring functions, multiple checkpoints, multiple calibration strategies, and multiple detection paradigms through a hybrid rank-based fusion strategy. Extensive experiments on CheXpert and MIMIC-CXR show that this unified design consistently delivers more accurate and resource-efficient medical anomaly detection, confirming the complementary benefits of TCCA and MDAEF.",https://www.semanticscholar.org/paper/0be4426a3904d620677a82b6cee69126df98fece
0d996b1037fc85dca2eb28aa8194ad8607afcd5c,Contrastive Multimodal Learning for Chest Radiograph Diagnosis and Report Generation,Yuhang Gu; Yunhe Deng; C. Cai; Ting Wang; Weiran Zhu; Yuan Tao,2026,2026-01-23,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering",10.1145/3804601.3804706,,"This paper presents ChestCon, a multimodal vision-language framework designed for comprehensive chest radiograph analysis through contrastive learning and multi-view integration. Built upon large-scale pretrained models, ChestCon leverages both frontal and lateral chest X-rays as complementary views, and optionally incorporates prior clinical data to enhance contextual understanding. Rather than processing each modality in isolation, we adopt a unified modeling strategy that aligns cross-view and cross-modal representations through a hierarchical fusion mechanism and dual-level contrastive learning. Specifically, we employ a global contrastive loss to align holistic image-report pairs and a local patch-to-phrase contrastive loss to capture fine-grained anatomical semantics. Experimental results on multiple chest X-ray benchmarks demonstrate significant improvements in diagnostic classification and report generation, validating the effectiveness of large model adaptation, multi-view fusion, and contrastive learning. Evaluation on the MIMIC-CXR dataset shows that our method attains state-of-the-art performance, confirming its effectiveness. Our framework represents a promising step toward more accurate, flexible, and clinically grounded medical image understanding.",https://www.semanticscholar.org/paper/0d996b1037fc85dca2eb28aa8194ad8607afcd5c
